Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent;Keywords
12;Biogen;Sr. Product Manager - Pipeline Products;São Paulo (SP);26/05 15:00;https://www.linkedin.com/jobs/view/4416320109/;https://media.licdn.com/dms/image/v2/D4E0BAQG15kmCJuJKzA/company-logo_100_100/B4EZ1vGNtgJMAQ-/0/1775685393543/biogen__logo?e=1781136000&v=beta&t=-gmhocn0eQD1KcvxkfjSrt6hCNg4Xt3JxY_hO2KZPZM;Produtos > Product Manager;https://www.linkedin.com/company/biogen/about/;-;;biogen;1;https://www.linkedin.com/jobs/view/4416320109/;https://www.linkedin.com/jobs/view/4416320109/;On-site;Banco de Talentos, Senior, Liderança/Gerência, Product Owner/Product Manager;26/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente produtos
13;CSL;Product Manager;São Paulo (SP);26/05 15:00;https://www.linkedin.com/jobs/view/4416843404/;https://media.licdn.com/dms/image/v2/D4E0BAQFlpZXl0AOsLw/company-logo_100_100/B4EZfCycGvHYAY-/0/1751319692172/csl_logo?e=1781136000&v=beta&t=E1cxlXWc6WniL9AjYRAtoOS6PcKdkeCo4Iv5IVMOAuY;Produtos > Product Manager;https://www.linkedin.com/company/csl/about/;-;;csl;1;https://www.linkedin.com/jobs/view/4416843404/;https://www.linkedin.com/jobs/view/4416843404/;Hybrid;Liderança/Gerência, Product Owner/Product Manager;26/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente produtos
14;CVC CORP;Analista Produto Sênior;Santo André (SP);25/05 16:00;https://www.linkedin.com/jobs/view/4415255080/;https://media.licdn.com/dms/image/v2/D4D0BAQGbLNDiWMkmeg/company-logo_100_100/company-logo_100_100/0/1732902798960/cvc_logo?e=1781136000&v=beta&t=3zq6U7QJW_DXc8LeZrjyGckmivvlb-YZD2U-4yQiYpc;Advanced > Specialist;https://www.linkedin.com/company/cvc-corp/about/;Turismo e Viagens;;cvc corp;1.0;https://www.linkedin.com/jobs/view/4415255080/;https://www.linkedin.com/jobs/view/4415255080/;On-site;Senior, Associate;26/05/2026;Santo André;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente produtos
15;Claro Brasil;Product Manager Cloud;São Paulo (SP);25/05 18:00;https://www.linkedin.com/jobs/view/4418999572/;https://media.licdn.com/dms/image/v2/C4D0BAQH2gEZpU9Oy5Q/company-logo_100_100/company-logo_100_100/0/1630559270452/clarobrasil_logo?e=1781136000&v=beta&t=6SxWHfNiMtLB7gM00TZsBqZ2uAI67fAnfGioXM9TYwI;Produtos > Product Manager;https://www.linkedin.com/company/claro-brasil/about/;Telecomunicações;Gupy;claro brasil;1.0;https://www.linkedin.com/jobs/view/4418999572/;https://www.linkedin.com/jobs/view/4418999572/;On-site;Liderança/Gerência, Product Owner/Product Manager;26/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente produtos
16;ClassPass;Product Manager;São Paulo (SP);26/05 07:00;https://www.linkedin.com/jobs/view/4407783463/;https://media.licdn.com/dms/image/v2/D560BAQFm2VYPkA3hjg/company-logo_100_100/company-logo_100_100/0/1689120052565/classpass_logo?e=1781136000&v=beta&t=yhx853hUO5m2AfKkeuo5JQM8FxUsJqbJIWa_ThBgT0k;Produtos > Product Manager;https://www.linkedin.com/company/classpass/about/;-;www.playlist.com;classpass;1.0;https://www.linkedin.com/jobs/view/4407783463/;https://www.linkedin.com/jobs/view/4407783463/;Remote;Liderança/Gerência, Product Owner/Product Manager;26/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente produtos
17;Contabilizei;[Tecnologia] Especialista de Produto Sênior;Brasil;25/05 18:00;https://www.linkedin.com/jobs/view/4419107275/;https://media.licdn.com/dms/image/v2/C4D0BAQFIobDmaNDEGg/company-logo_100_100/company-logo_100_100/0/1660682467689/contabilizei_logo?e=1781136000&v=beta&t=LC4oGVKaBUDaKepjWf4GluJeu46ad8jZmcIumtUoa78;Advanced > Specialist;https://www.linkedin.com/company/contabilizei/about/;-;Inhire;contabilizei;1.0;https://www.linkedin.com/jobs/view/4419107275/;https://www.linkedin.com/jobs/view/4419107275/;Remote;Specialist, Senior, TI/Tech;26/05/2026;;;;;Brasil;América do Sul;gerente produtos
18;Digio;Analista de Produto Consignado PL;Barueri (SP);25/05 19:00;https://www.linkedin.com/jobs/view/4415239630/;https://media.licdn.com/dms/image/v2/C4D0BAQG54mLnaWUpsg/company-logo_100_100/company-logo_100_100/0/1632257278932/digiobrasil_logo?e=1781136000&v=beta&t=07gO-s5O4eR7grx83j08KLxOQaKhWnhXMIAn2d1K63w;Advanced > Specialist;https://www.linkedin.com/company/digio/about/;-;;digio;1;https://www.linkedin.com/jobs/view/4415239630/;https://www.linkedin.com/jobs/view/4415239630/;Hybrid;Mid, Associate;26/05/2026;Barueri;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente produtos
19;Digio;Analista de Produtos Sênior - Seguros;Barueri (SP);25/05 19:00;https://www.linkedin.com/jobs/view/4415231611/;https://media.licdn.com/dms/image/v2/C4D0BAQG54mLnaWUpsg/company-logo_100_100/company-logo_100_100/0/1632257278932/digiobrasil_logo?e=1781136000&v=beta&t=07gO-s5O4eR7grx83j08KLxOQaKhWnhXMIAn2d1K63w;Advanced > Specialist;https://www.linkedin.com/company/digio/about/;Seguros e Previdência;;digio;1;https://www.linkedin.com/jobs/view/4415231611/;https://www.linkedin.com/jobs/view/4415231611/;Hybrid;Senior, Associate;26/05/2026;Barueri;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente produtos
20;Digio;Coordenador de Produtos;Barueri (SP);25/05 19:00;https://www.linkedin.com/jobs/view/4415245611/;https://media.licdn.com/dms/image/v2/C4D0BAQG54mLnaWUpsg/company-logo_100_100/company-logo_100_100/0/1632257278932/digiobrasil_logo?e=1781136000&v=beta&t=07gO-s5O4eR7grx83j08KLxOQaKhWnhXMIAn2d1K63w;Middle > Manager;https://www.linkedin.com/company/digio/about/;-;;digio;1;https://www.linkedin.com/jobs/view/4415245611/;https://www.linkedin.com/jobs/view/4415245611/;Hybrid;Mid, Liderança/Gerência;26/05/2026;Barueri;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente produtos
21;Empresa Confidencial;Gerente de Produtos;São Paulo (SP);26/05 16:00;https://www.linkedin.com/jobs/view/4416836645/;https://media.licdn.com/dms/image/v2/D4D0BAQE5LKe2moMnHg/company-logo_100_100/company-logo_100_100/0/1736630274411/empresa_confidencial_logo?e=1781136000&v=beta&t=3D76wjY_GLsJmjPYwkhQgiG-yFYThEg8m7ONBiWkOD8;Middle > Manager;https://www.linkedin.com/company/empresa-confidencial/about/;-;LinkedIn (Easy Apply);empresa confidencial;1.0;https://www.linkedin.com/jobs/view/4416836645/;https://www.linkedin.com/jobs/view/4416836645/;On-site;Mid, Liderança/Gerência;26/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente produtos
