Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;ABGroup Desenvolvimento de Negócios;Coordenador de Projetos - Uberlândia - MG;Uberlândia (MG);29/04 22:00;https://www.linkedin.com/jobs/view/4408591754/;https://media.licdn.com/dms/image/v2/D4D0BAQGvanWEWq_NbQ/company-logo_100_100/company-logo_100_100/0/1711980815291?e=1779321600&v=beta&t=ab9i_35s3kLe6GK0K0kRu0X8-N6iJVr9EysRRqSvff0;Middle > Manager;https://www.linkedin.com/company/abgroup-desenvolvimento-de-neg-cios/about/;IT;Unknown/Error;abgroup desenvolvimento de negócios;1.0;https://www.linkedin.com/jobs/view/4408591754/;;On-site;Mid, Liderança/Gerência;30/04/2026;Uberlândia;Minas Gerais;MG;Região Sudeste;Brasil;América do Sul
2;Abc Technology Group;SAP PP-QM-PM;Suzano (SP);30/04 14:00;https://www.linkedin.com/jobs/view/4406493993/;https://media.licdn.com/dms/image/v2/D4D0BAQGs55J1MOA_1w/company-logo_100_100/B4DZXiWafsHsAQ-/0/1743259281782/abc_technology_des_sol_empresariais_ltda_logo?e=1779321600&v=beta&t=yYhgBOiZSqTYxFnsptFFUZEFB0rrbnI9UZeChliT2mg;-;https://www.linkedin.com/company/abc-technology-group/about/;IT;LinkedIn (Easy Apply);abc technology group;1.0;https://www.linkedin.com/jobs/view/4406493993/;https://www.linkedin.com/jobs/view/4406493993/;Hybrid;SAP, Product Owner/Product Manager;30/04/2026;Suzano;São Paulo;SP;Região Sudeste;Brasil;América do Sul
3;Acelera Jurídico;Gestor de Projetos e Operações;São Paulo (SP);29/04 21:00;https://www.linkedin.com/jobs/view/4407601895/;https://media.licdn.com/dms/image/v2/D4D0BAQHZOnb2DaZ5rw/company-logo_100_100/company-logo_100_100/0/1739215499509/acelera_jurdico_logo?e=1779321600&v=beta&t=rZns2-6DWLR8-AT2oqhUx19sb8u0TcFXzT1amLvf0gI;-;https://www.linkedin.com/company/acelera-jur-dico/about/;Legal;Inhire;acelera jurídico;1.0;https://www.linkedin.com/jobs/view/4407601895/;https://acelerajuridico.inhire.app/vagas/6ef865ea-5211-4853-a04f-329c1841cb87/gestor-de-projetos-e-operacoes?source=linkedin;On-site;Liderança/Gerência;30/04/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
4;Aggreko;Regional Project Finance Manager;Jaguariúna (SP);29/04 17:00;https://www.linkedin.com/jobs/view/4368851212/;https://media.licdn.com/dms/image/v2/D4E0BAQFIhknlSyFsfQ/company-logo_100_100/B4EZwEnMxXIIAQ-/0/1769603911154/aggreko_logo?e=1779321600&v=beta&t=dA5kszr7XMEb0F4_eOD2iRxKV2PVm4a0WvuyO7_TeEw;Middle > Manager;https://www.linkedin.com/company/aggreko/about/;Finance;careers.aggreko.com;aggreko;1.0;https://www.linkedin.com/jobs/view/4368851212/;https://careers.aggreko.com/sa/pt-br/jobs/jr19012-regional-project-finance-manager?source=LinkedIn;Hybrid;Liderança/Gerência;30/04/2026;Jaguariúna;São Paulo;SP;Região Sudeste;Brasil;América do Sul
5;Alstom;Procurement Project Manager;Taubaté (SP);30/04 10:00;https://www.linkedin.com/jobs/view/4406471852/;https://media.licdn.com/dms/image/v2/D4E0BAQFLUKI2w48YdA/company-logo_100_100/B4EZxGf8CNLAAQ-/0/1770709304114/alstom_logo?e=1779321600&v=beta&t=6CdzCoEIsxzlWJbIVOZjL3T-7hjxmrwqR3HZdYcv0K0;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/alstom/about/;Marketing;jobsearch.alstom.com;alstom;1.0;https://www.linkedin.com/jobs/view/4406471852/;https://jobsearch.alstom.com/job/Taubate-Procurement-Project-Manager-SP/1389274033/?utm_source=LINKEDIN&utm_medium=referrer;On-site;Liderança/Gerência;30/04/2026;Taubaté;São Paulo;SP;Região Sudeste;Brasil;América do Sul
6;Amaris Consulting;Consultor SAP Supply Chain (PP,QM,PM);SP;29/04 17:00;https://www.linkedin.com/jobs/view/4399477719/;https://media.licdn.com/dms/image/v2/D4D0BAQHsB8-V6fxAMA/company-logo_100_100/company-logo_100_100/0/1729584227309/amaris_logo?e=1779321600&v=beta&t=WOJA-_Evt7cZAB6XMAWS_WtVLf8TCHDDZvK3mla6r1Q;Advanced > Specialist;https://www.linkedin.com/company/amaris-consulting/about/;Consulting;careers.mantu.com;amaris consulting;1.0;https://www.linkedin.com/jobs/view/4399477719/;https://careers.mantu.com/brands/amaris-consulting/jobs/42995?UTM_campaign=Job_Board_Linkedin&UTM_medium=Job_Offer_Linkedin&UTM_source=Linkedin;On-site;Consultor, SAP, Product Owner/Product Manager, Logística/Supply;30/04/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
7;Amazon;Sr. Change Manager, ACES, ACES (Amazon Customer Excellence System);Grande São Paulo (SP) ;30/04 15:00;https://www.linkedin.com/jobs/view/4409043400/;https://media.licdn.com/dms/image/v2/D560BAQGDLy4STCnHbg/company-logo_100_100/B56ZnZxDipI0AQ-/0/1760295142304/amazon_logo?e=1779321600&v=beta&t=7jukWAflI_mcl3yXRyOpXm42YboI6iAOGCpZ9aAh4wU;Middle > Manager;https://www.linkedin.com/company/amazon/about/;Retail;Amazon;amazon;5.0;https://www.linkedin.com/jobs/view/4409043400/;https://www.amazon.jobs/en/jobs/10407763/sr-change-manager-aces-aces-amazon-customer-excellence-system?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid;On-site;Senior, Liderança/Gerência;30/04/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
8;Amazon;Sr. PMO & Planning, ACES, ACES (Amazon Customer Excellence System);Grande São Paulo (SP) ;29/04 17:00;https://www.linkedin.com/jobs/view/4386999751/;https://media.licdn.com/dms/image/v2/D560BAQGDLy4STCnHbg/company-logo_100_100/B56ZnZxDipI0AQ-/0/1760295142304/amazon_logo?e=1779321600&v=beta&t=7jukWAflI_mcl3yXRyOpXm42YboI6iAOGCpZ9aAh4wU;Produtos > Product Manager;https://www.linkedin.com/company/amazon/about/;Retail;Amazon;amazon;5.0;https://www.linkedin.com/jobs/view/4386999751/;https://www.amazon.jobs/en/jobs/3207072/sr-pmo-planning-aces-aces-amazon-customer-excellence-system?cmpid=SPLICX0248M&ss=paid&utm_campaign=cxro&utm_content=job_posting&utm_medium=social_media&utm_source=linkedin.com;On-site;Senior, PMO;30/04/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
9;Ampstek;CPM (Cloud PM);Brasil;30/04 16:00;https://www.linkedin.com/jobs/view/4407636176/;https://media.licdn.com/dms/image/v2/C4D0BAQG-yq3zl7vc9w/company-logo_100_100/company-logo_100_100/0/1630539687958/ampstek_logo?e=1779321600&v=beta&t=rRUI8zcBVr5MKMuak9fyiqx0y6iSNi4z2wfWSeq2UZs;Produtos > Product Manager;https://www.linkedin.com/company/ampstek/about/;Other;LinkedIn (Easy Apply);ampstek;1.0;https://www.linkedin.com/jobs/view/4407636176/;https://www.linkedin.com/jobs/view/4407636176/;Remote;Product Owner/Product Manager;30/04/2026;;;;;Brasil;América do Sul
10;AutoZone;Analista de Projetos Sênior (PMO);São Paulo (SP);29/04 17:00;https://www.linkedin.com/jobs/view/4393487815/;https://media.licdn.com/dms/image/v2/C4D0BAQHDAnD-ybla0Q/company-logo_100_100/company-logo_100_100/0/1630575322755/autozone_logo?e=1779321600&v=beta&t=PzuzK8eV7chRxvRIwNOV0rjZTisBaZU1mgJJzElirF8;Advanced > Specialist;https://www.linkedin.com/company/autozone/about/;Marketing;LinkedIn (Easy Apply);autozone;1.0;https://www.linkedin.com/jobs/view/4393487815/;https://www.linkedin.com/jobs/view/4393487815/;Hybrid;Senior, Associate, PMO;30/04/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
