Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent;Keywords
1;4DF Connect;Coordenador (a) de Projetos;Rio Grande do Sul, Brasil;19/05 15:00;https://www.linkedin.com/jobs/view/4416905871/;https://media.licdn.com/dms/image/v2/D4E0BAQHgznwIT2t3IA/company-logo_100_100/B4EZgUICjYGcAU-/0/1752684309117/4dfconnect_logo?e=1780531200&v=beta&t=2OV5tQqdhtMCdd6rdaLF12LQueryoti-1jA5yhvYSjI;Middle > Manager;https://www.linkedin.com/company/4df-connect/about/;-;Geekhunter;4df connect;1.0;https://www.linkedin.com/jobs/view/4416905871/;https://www.linkedin.com/jobs/view/4416905871/;On-site;Mid, Liderança/Gerência;19/05/2026;;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul;gerente projetos
2;ABF Developments;Analista de Planejamento - Processo Seletivo Ativo;Porto Alegre (RS);19/05 05:00;https://www.linkedin.com/jobs/view/4412888744/;https://media.licdn.com/dms/image/v2/C4D0BAQF2l6buvmzFsw/company-logo_100_100/company-logo_100_100/0/1671048476791/abfdevelopments_logo?e=1780531200&v=beta&t=m7oulomiur7quqCTO0JqTUAO8-2f1aVCyL8EmddFwSw;Advanced > Specialist;https://www.linkedin.com/company/abf-developments/about/;Software e Serviços de TI;;abf developments;1;https://www.linkedin.com/jobs/view/4412888744/;https://www.linkedin.com/jobs/view/4412888744/;On-site;Associate;19/05/2026;Porto Alegre;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul;gerente projetos
3;AVSI BRASIL;Coordenador(a) de Projeto - São Gonçalo do Amarante/CE;São Gonçalo do Amarante (CE);18/05 22:00;https://www.linkedin.com/jobs/view/4416449989/;https://media.licdn.com/dms/image/v2/D4D0BAQHhHZ5G5JQPrw/company-logo_100_100/company-logo_100_100/0/1715949689767/avsi_brasil_logo?e=1780531200&v=beta&t=kACM1qJT7MeZB8R5wToUc_NUiKKYUrHXRxmM6qBO3IE;Middle > Manager;https://www.linkedin.com/company/avsi-brasil/about/;-;Solidês;avsi brasil;1.0;https://www.linkedin.com/jobs/view/4416449989/;https://www.linkedin.com/jobs/view/4416449989/;On-site;Mid, Liderança/Gerência;19/05/2026;São Gonçalo do Amarante;Ceará;CE;Região Nordeste;Brasil;América do Sul;gerente projetos
4;Accenture Brasil;Scrum Master Sênior | Inglês Avançado;Grande Recife (PE);18/05 16:00;https://www.linkedin.com/jobs/view/4415724481/;https://media.licdn.com/dms/image/v2/D4D0BAQFxYk90aqWMqA/company-logo_100_100/company-logo_100_100/0/1727873248436/accenturebrasil_logo?e=1780531200&v=beta&t=3HsSwSVURPa0q25bNcdStwSI7EQK6P6GIz5kON-Y4LI;Agility > Scrum Master;https://www.linkedin.com/company/accenture-brasil/about/;-;www.accenture.com;accenture brasil;4.0;https://www.linkedin.com/jobs/view/4415724481/;https://www.linkedin.com/jobs/view/4415724481/;Hybrid;Inglês Fluente/Avançado, Senior, Scrum/Agile;19/05/2026;;Pernambuco;PE;Região Nordeste;Brasil;América do Sul;gerente projetos
5;Accenture Brasil;Analista de Gestão de Projetos Sênior;Nova Lima (MG);18/05 20:00;https://www.linkedin.com/jobs/view/4415726416/;https://media.licdn.com/dms/image/v2/D4D0BAQFxYk90aqWMqA/company-logo_100_100/company-logo_100_100/0/1727873248436/accenturebrasil_logo?e=1780531200&v=beta&t=3HsSwSVURPa0q25bNcdStwSI7EQK6P6GIz5kON-Y4LI;Advanced > Specialist;https://www.linkedin.com/company/accenture-brasil/about/;-;www.accenture.com;accenture brasil;4.0;https://www.linkedin.com/jobs/view/4415726416/;https://www.linkedin.com/jobs/view/4415726416/;Remote;Senior, Associate;19/05/2026;Nova Lima;Minas Gerais;MG;Região Sudeste;Brasil;América do Sul;gerente projetos
6;Adentro;Service Delivery Manager (SDM) — Sucesso do Cliente;Porto Alegre (RS);19/05 15:00;https://www.linkedin.com/jobs/view/4413357249/;https://media.licdn.com/dms/image/v2/D4E0BAQHwrWks-j2GpQ/company-logo_100_100/company-logo_100_100/0/1683728746566/adentro_data_center_solutions_logo?e=1780531200&v=beta&t=D5nbwzSs-67cDDft0eeVOu0UgO37zcsw0xIHgPNobec;Operations > Delivery Manager;https://www.linkedin.com/company/adentro/about/;-;;adentro;1;https://www.linkedin.com/jobs/view/4413357249/;https://www.linkedin.com/jobs/view/4413357249/;On-site;Liderança/Gerência, Delivery/SDM;19/05/2026;Porto Alegre;Rio Grande do Sul;RS;Região Sul;Brasil;América do Sul;gerente projetos
7;Aditek Orthodontics;Analista de Projetos e Processos (PMO);Cravinhos (SP);19/05 05:00;https://www.linkedin.com/jobs/view/4416498834/;https://media.licdn.com/dms/image/v2/D4D0BAQGtz7-PnwpHYw/company-logo_100_100/company-logo_100_100/0/1695232187712/aditekortho_logo?e=1780531200&v=beta&t=_YOInPjnyqQqZPIhDKJcwJL44NozBw3A4oD6MLvtmTY;Advanced > Process & Automation;https://www.linkedin.com/company/aditek-orthodontics/about/;Software e Serviços de TI;Solidês;aditek orthodontics;1.0;https://www.linkedin.com/jobs/view/4416498834/;https://www.linkedin.com/jobs/view/4416498834/;On-site;Associate, PMO, Processos/Excelência;19/05/2026;Cravinhos;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente projetos
8;Agência Haute | grupo UMAUMA;PMO (Gestão de Projetos);São Paulo (SP);19/05 16:00;https://www.linkedin.com/jobs/view/4416946213/;https://media.licdn.com/dms/image/v2/D4D0BAQHMtKeFB9kOIg/company-logo_100_100/company-logo_100_100/0/1720452203087/agencia_haute_logo?e=1780531200&v=beta&t=m9Y61kQLNn2Cf7C74p3eioJJBCArDuEc8ZsOdxf6hn0;Produtos > Product Manager;https://www.linkedin.com/company/ag-ncia-haute-grupo-umauma/about/;Marketing e Publicidade Marketing;Trampos;agência haute | grupo umauma;1.0;https://www.linkedin.com/jobs/view/4416946213/;https://www.linkedin.com/jobs/view/4416946213/;On-site;PMO;19/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente projetos
9;Alfafam Management Consulting;PM Software Implementation Specialist;Brasil;19/05 10:00;https://www.linkedin.com/jobs/view/4416635961/;https://media.licdn.com/dms/image/v2/C560BAQE17UgB39hnMA/company-logo_100_100/company-logo_100_100/0/1649279070323/alfafam_logo?e=1780531200&v=beta&t=_hZWofxgo6RwFRRcPjcKGEMAcXO5DmNLmxF9VAYiXFU;Produtos > Product Manager;https://www.linkedin.com/company/alfafam-management-consulting/about/;Consultoria e Assessoria;BambooHR;alfafam management consulting;1.0;https://www.linkedin.com/jobs/view/4416635961/;https://www.linkedin.com/jobs/view/4416635961/;Remote;Specialist, TI/Tech, Product Owner/Product Manager;19/05/2026;;;;;Brasil;América do Sul;gerente projetos
10;Alstom;Signalling Project Test & Commissioning Manager (PrCOM);Grande São Paulo (SP) ;19/05 11:00;https://www.linkedin.com/jobs/view/4413335235/;https://media.licdn.com/dms/image/v2/D4E0BAQFLUKI2w48YdA/company-logo_100_100/B4EZxGf8CNLAAQ-/0/1770709304114/alstom_logo?e=1780531200&v=beta&t=IGjhPFsu7qggOvKs5K3pDR41Q0xKPy2-f7LZv1lUqKE;Middle > Manager;https://www.linkedin.com/company/alstom/about/;-;jobsearch.alstom.com;alstom;1.0;https://www.linkedin.com/jobs/view/4413335235/;https://www.linkedin.com/jobs/view/4413335235/;On-site;Liderança/Gerência, Testes / QA;19/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente projetos
11;Amazon Web Services (AWS);Trade Compliance PM, LATAM, AWS GTPC Trade Ops;Grande São Paulo (SP) ;19/05 11:00;https://www.linkedin.com/jobs/view/4416664180/;https://media.licdn.com/dms/image/v2/D4E0BAQFqdm1TZ-RZKQ/company-logo_100_100/B4EZgOay6gHEAY-/0/1752588562343/amazon_web_services_logo?e=1780531200&v=beta&t=ksdzh0P2HEsVYN5hu21Nb4w4J_wGdDwK5XO3JNAZPKc;Produtos > Product Manager;https://www.linkedin.com/company/amazon-web-services-aws/about/;Varejo e E-commerce;Amazon;amazon web services (aws);5.0;https://www.linkedin.com/jobs/view/4416664180/;https://www.linkedin.com/jobs/view/4416664180/;On-site;Cloud (AWS/GCP/Azure), Product Owner/Product Manager;19/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente projetos
12;Ambev;CSC Jaguariúna - Especialista de Melhoria Continua & Transformação;Jaguariúna (SP);18/05 16:00;https://www.linkedin.com/jobs/view/4406202895/;https://media.licdn.com/dms/image/v2/D560BAQHjuqzBd5qPnA/company-logo_100_100/company-logo_100_100/0/1709750536547?e=1780531200&v=beta&t=AgEq0L--moDLdkoOxocCblr9QpXFmEvojrm_Cv2rSAg;Advanced > Specialist;https://www.linkedin.com/company/ambev/about/;Alimentos e Bebidas;;ambev;5.0;https://www.linkedin.com/jobs/view/4406202895/;https://www.linkedin.com/jobs/view/4406202895/;On-site;Specialist, Change Mgt;19/05/2026;Jaguariúna;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente projetos
13;Análise Contabilidade;Engenheiro de Projetos - Campinas e Sorocaba /São Paulo;Barueri (SP);19/05 05:00;https://www.linkedin.com/jobs/view/4416487945/;https://media.licdn.com/dms/image/v2/D4D0BAQFmsCOOsnJIfg/company-logo_100_100/company-logo_100_100/0/1732824120620?e=1780531200&v=beta&t=MUVYGds3r3dzc8Uz1-YML92N5BxJxxEk8bBGJPYSAkw;-;https://www.linkedin.com/company/an-lise-contabilidade/about/;-;;análise contabilidade;1;https://www.linkedin.com/jobs/view/4416487945/;https://www.linkedin.com/jobs/view/4416487945/;On-site;-;19/05/2026;Barueri;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente projetos
14;ArcelorMittal;Gerente de Área de Planejamento, Projetos, Engenharia e Manutenção;Itatiaiuçu (MG);19/05 08:00;https://www.linkedin.com/jobs/view/4415778969/;https://media.licdn.com/dms/image/v2/C4E0BAQHsvvyIuBK8Lw/company-logo_100_100/company-logo_100_100/0/1661852655574/arcelormittal_logo?e=1780531200&v=beta&t=TaX5cSrE3Erm0tqdcQFCI8Ph9Oeov_KbCnsKSaRf2rY;Middle > Manager;https://www.linkedin.com/company/arcelormittal/about/;Software e Serviços de TI;;arcelormittal;1;https://www.linkedin.com/jobs/view/4415778969/;https://www.linkedin.com/jobs/view/4415778969/;On-site;Mid, Liderança/Gerência, Engenharia Geral, Sustentação/O&M;19/05/2026;Itatiaiuçu;Minas Gerais;MG;Região Sudeste;Brasil;América do Sul;gerente projetos
15;Ascenty;Gerente de Projetos de Engenharia;Vinhedo (SP);19/05 14:00;https://www.linkedin.com/jobs/view/4416909561/;https://media.licdn.com/dms/image/v2/C4D0BAQG8l-mqbCq76w/company-logo_100_100/company-logo_100_100/0/1640627299782/ascenty_logo?e=1780531200&v=beta&t=HsignDzmUEI7m905TrdRHwTx0arqzB__iW-0BQnuYiI;Middle > Manager;https://www.linkedin.com/company/ascenty/about/;-;Infojobs;ascenty;1.0;https://www.linkedin.com/jobs/view/4416909561/;https://www.linkedin.com/jobs/view/4416909561/;Hybrid;Mid, Liderança/Gerência, Engenharia Geral;19/05/2026;Vinhedo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente projetos
