Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent;Keywords
1;A.C.Camargo Cancer Center;ESPECIALISTA PROJETOS;São Paulo (SP);25/05 18:00;https://www.linkedin.com/jobs/view/4419101041/;https://media.licdn.com/dms/image/v2/D4D0BAQEYnwtKr6hI-w/company-logo_100_100/company-logo_100_100/0/1726515191454/accamargo_logo?e=1781136000&v=beta&t=_zzk1ey9oq8k8RsPwlH8xSy9MsEMDDlVbh4aUBhCKGU;Advanced > Specialist;https://www.linkedin.com/company/a-c-camargo-cancer-center/about/;-;LinkedIn (Easy Apply);a.c.camargo cancer center;1.0;https://www.linkedin.com/jobs/view/4419101041/;https://www.linkedin.com/jobs/view/4419101041/;Hybrid;Specialist;26/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente projetos
2;ASA Indústria;ASA Campina Grande - Analista de Projetos;Campina Grande (PB);25/05 21:00;https://www.linkedin.com/jobs/view/4418290434/;https://media.licdn.com/dms/image/v2/D4D0BAQGtn9OHOZOpPA/company-logo_100_100/company-logo_100_100/0/1714393720836/asa_industria_logo?e=1781136000&v=beta&t=wSmOxO05K0EmtFpUzFsZCZ4KZEHm2md-p_1Zbb-Ad-U;Advanced > Specialist;https://www.linkedin.com/company/asa-ind-stria/about/;Manufatura e Produção;;asa indústria;1;https://www.linkedin.com/jobs/view/4418290434/;https://www.linkedin.com/jobs/view/4418290434/;On-site;Associate;26/05/2026;Campina Grande;Paraíba;PB;Região Nordeste;Brasil;América do Sul;gerente projetos
3;Almaviva Solutions;Gerente de Projetos;SP;26/05 17:00;https://www.linkedin.com/jobs/view/4416834866/;https://media.licdn.com/dms/image/v2/D4D0BAQFo3Nh7VYx-kg/company-logo_100_100/company-logo_100_100/0/1732382836517/almaviva_solutions_logo?e=1781136000&v=beta&t=KtRfmW4ZU98_tRrHMFUbmGsJzb5MLg4NE6K3E8fktrY;Middle > Manager;https://www.linkedin.com/company/almaviva-solutions/about/;Software e Serviços de TI;Gupy;almaviva solutions;1.0;https://www.linkedin.com/jobs/view/4416834866/;https://www.linkedin.com/jobs/view/4416834866/;Hybrid;Mid, Liderança/Gerência;26/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente projetos
4;Amazon;Brazil Trade Operations PM, Risk Manager, Global Trade Services;Grande São Paulo (SP) ;25/05 18:00;https://www.linkedin.com/jobs/view/4401513973/;https://media.licdn.com/dms/image/v2/D560BAQGDLy4STCnHbg/company-logo_100_100/B56ZnZxDipI0AQ-/0/1760295142304/amazon_logo?e=1781136000&v=beta&t=WRaWoxnoXyxOEgYKGwfkxNWCn3yRI6hYaLPYKrsSNhk;Produtos > Product Manager;https://www.linkedin.com/company/amazon/about/;Software e Serviços de TI;Amazon;amazon;5.0;https://www.linkedin.com/jobs/view/4401513973/;https://www.linkedin.com/jobs/view/4401513973/;On-site;Liderança/Gerência, Product Owner/Product Manager;26/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente projetos
5;Atual - Excelência em Gestão Empresarial;Gerente de Projetos;Grande Belo Horizonte (MG);26/05 05:00;https://www.linkedin.com/jobs/view/4415272452/;https://media.licdn.com/dms/image/v2/C4D0BAQEsEuiRN_YjgA/company-logo_100_100/company-logo_100_100/0/1631309280191?e=1781136000&v=beta&t=FkdJSkeAtaQcvyDq3swO8QeZJisoWXX8H5FS0qA33Ow;Middle > Manager;https://www.linkedin.com/company/atual-excel-ncia-em-gest-o-empresarial/about/;-;;atual - excelência em gestão empresarial;1;https://www.linkedin.com/jobs/view/4415272452/;https://www.linkedin.com/jobs/view/4415272452/;On-site;Mid, Liderança/Gerência;26/05/2026;;Minas Gerais;MG;Região Sudeste;Brasil;América do Sul;gerente projetos
6;Avanade;Gerente de Projetos (English Required);São Paulo (SP);25/05 18:00;https://www.linkedin.com/jobs/view/4418987006/;https://media.licdn.com/dms/image/v2/D4D0BAQH9oEH9vWAthw/company-logo_100_100/B4DZf0WkqfH8AY-/0/1752151247860/avanade_logo?e=1781136000&v=beta&t=0QLgbkI1JDHxydxoMlHfr-WljdJgXk8ZkAgG56Uakgg;Middle > Manager;https://www.linkedin.com/company/avanade/about/;-;www.avanade.com;avanade;3.0;https://www.linkedin.com/jobs/view/4418987006/;https://www.linkedin.com/jobs/view/4418987006/;On-site;Mid, Liderança/Gerência;26/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente projetos
7;Ayesa Digital;PMO Sênior - Latam;SP;25/05 18:00;https://www.linkedin.com/jobs/view/4415244172/;https://media.licdn.com/dms/image/v2/D4E0BAQE8MnRSGOKTOQ/company-logo_100_100/B4EZyes_tOKsAQ-/0/1772189121741?e=1781136000&v=beta&t=5Pma9YgwC5tAqKrF4O43ZT1Yqq20pexx-VsKfz0Q9x0;Produtos > Product Manager;https://www.linkedin.com/company/ayesa-digital/about/;Software e Serviços de TI;;ayesa digital;1;https://www.linkedin.com/jobs/view/4415244172/;https://www.linkedin.com/jobs/view/4415244172/;Remote;Senior, PMO;26/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente projetos
8;BairesDev;Agile Scrum Master - Trabalho Remoto;Goianápolis (GO);25/05 18:00;https://www.linkedin.com/jobs/view/4418264595/;https://media.licdn.com/dms/image/v2/D4E0BAQGNvQASzrdL_w/company-logo_100_100/company-logo_100_100/0/1687874736484/bairesdev_logo?e=1781136000&v=beta&t=Qtn6YXnqDI0NTj0-HTEcMBc3QHoceHRSf51fVVHgWuc;Agility > Scrum Master;https://www.linkedin.com/company/bairesdev/about/;-;applicants.bairesdev.com;bairesdev;2.0;https://www.linkedin.com/jobs/view/4418264595/;https://www.linkedin.com/jobs/view/4418264595/;Remote;Scrum/Agile;26/05/2026;Goianápolis;Goiás;GO;Região Centro-Oeste;Brasil;América do Sul;gerente projetos
9;BairesDev;Agile Scrum Master - Trabalho Remoto;Goiânia (GO);25/05 18:00;https://www.linkedin.com/jobs/view/4418262603/;https://media.licdn.com/dms/image/v2/D4E0BAQGNvQASzrdL_w/company-logo_100_100/company-logo_100_100/0/1687874736484/bairesdev_logo?e=1781136000&v=beta&t=Qtn6YXnqDI0NTj0-HTEcMBc3QHoceHRSf51fVVHgWuc;Agility > Scrum Master;https://www.linkedin.com/company/bairesdev/about/;-;applicants.bairesdev.com;bairesdev;2.0;https://www.linkedin.com/jobs/view/4418262603/;https://www.linkedin.com/jobs/view/4418262603/;Remote;Scrum/Agile;26/05/2026;Goiânia;Goiás;GO;Região Centro-Oeste;Brasil;América do Sul;gerente projetos
10;BairesDev;Agile Scrum Master - Trabalho Remoto;Manaus (AM);26/05 13:00;https://www.linkedin.com/jobs/view/4418252974/;https://media.licdn.com/dms/image/v2/D4E0BAQGNvQASzrdL_w/company-logo_100_100/company-logo_100_100/0/1687874736484/bairesdev_logo?e=1781136000&v=beta&t=Qtn6YXnqDI0NTj0-HTEcMBc3QHoceHRSf51fVVHgWuc;Agility > Scrum Master;https://www.linkedin.com/company/bairesdev/about/;-;applicants.bairesdev.com;bairesdev;2.0;https://www.linkedin.com/jobs/view/4418252974/;https://www.linkedin.com/jobs/view/4418252974/;Remote;Scrum/Agile;26/05/2026;Manaus;Amazonas;AM;Região Norte;Brasil;América do Sul;gerente projetos
11;BairesDev;Agile Scrum Master - Trabalho Remoto;RJ;26/05 13:00;https://www.linkedin.com/jobs/view/4418264594/;https://media.licdn.com/dms/image/v2/D4E0BAQGNvQASzrdL_w/company-logo_100_100/company-logo_100_100/0/1687874736484/bairesdev_logo?e=1781136000&v=beta&t=Qtn6YXnqDI0NTj0-HTEcMBc3QHoceHRSf51fVVHgWuc;Agility > Scrum Master;https://www.linkedin.com/company/bairesdev/about/;-;applicants.bairesdev.com;bairesdev;2.0;https://www.linkedin.com/jobs/view/4418264594/;https://www.linkedin.com/jobs/view/4418264594/;Remote;Scrum/Agile;26/05/2026;;Rio de Janeiro;RJ;Região Sudeste;Brasil;América do Sul;gerente projetos
