Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent;Keywords
37;Kikker;Gerente de projetos;Brasil;18/05 15:00;https://www.linkedin.com/jobs/view/4412829002/;https://media.licdn.com/dms/image/v2/C4D0BAQGmm1MmLTnvEw/company-logo_100_100/company-logo_100_100/0/1630557907378/kikkersoftware_logo?e=1780531200&v=beta&t=rgxWmMAKxrjpgBPmb92DBggmmxA7XfM2vSGcZUN41mU;Middle > Manager;https://www.linkedin.com/company/kikker/about/;-;;kikker;1;https://www.linkedin.com/jobs/view/4412829002/;https://www.linkedin.com/jobs/view/4412829002/;Remote;Mid, Liderança/Gerência;18/05/2026;;;;;Brasil;América do Sul;gerente projetos
38;Klabin;Engenheira(o) Pl (Melhoria Contínua);Horizonte (CE);18/05 16:00;https://www.linkedin.com/jobs/view/4416086160/;https://media.licdn.com/dms/image/v2/D4D0BAQHnQh33Rfisjw/company-logo_100_100/B4DZZN7gxcHwAQ-/0/1745064169141/klabin_logo?e=1780531200&v=beta&t=K3VuZ-3GQ0SZSVfIRCsRqYUkpo7lzj1Z9lmOcHHIFIA;-;https://www.linkedin.com/company/klabin/about/;-;carreiras.klabin.com.br;klabin;1.0;https://www.linkedin.com/jobs/view/4416086160/;https://www.linkedin.com/jobs/view/4416086160/;On-site;Mid, Processos/Excelência;18/05/2026;Horizonte;Ceará;CE;Região Nordeste;Brasil;América do Sul;gerente projetos
39;Lockton;Analista de  Processo Pl. (Bilingue);São Paulo (SP);18/05 12:00;https://www.linkedin.com/jobs/view/4416234833/;https://media.licdn.com/dms/image/v2/D560BAQFWaO9Mjo2Ecw/company-logo_100_100/company-logo_100_100/0/1721331007295/lockton_companies_logo?e=1780531200&v=beta&t=L44q-Y1H-_s30xr4od_9C_eJ4cQZ8qlAEW4Lu-9bAXo;Advanced > Specialist;https://www.linkedin.com/company/lockton/about/;-;LinkedIn (Easy Apply);lockton;1.0;https://www.linkedin.com/jobs/view/4416234833/;https://www.linkedin.com/jobs/view/4416234833/;Hybrid;Mid, Associate;18/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente projetos
40;Minsait;Líder de projetos;São Paulo (SP);17/05 18:00;https://www.linkedin.com/jobs/view/4412803705/;https://media.licdn.com/dms/image/v2/D4E0BAQHygzCeD_On8w/company-logo_100_100/B4EZvqQjJxHkAQ-/0/1769161765891/minsait_logo?e=1780531200&v=beta&t=zfLWge02cKRKyUkXNb8v5dievOYqXgU36GGEWvp00WE;-;https://www.linkedin.com/company/minsait/about/;Software e Serviços de TI;LinkedIn (Easy Apply);minsait;1.0;https://www.linkedin.com/jobs/view/4412803705/;https://www.linkedin.com/jobs/view/4412803705/;Hybrid;Mid, Liderança/Gerência, Coach;18/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente projetos
41;New Open;Analista de projetos sênior;RJ;18/05 11:00;https://www.linkedin.com/jobs/view/4412802182/;https://media.licdn.com/dms/image/v2/D4D0BAQHzmMI-mtxnzQ/company-logo_100_100/company-logo_100_100/0/1736360074505/new_open_bar_logo?e=1780531200&v=beta&t=iXLGD6LUgJzYQM3w7qGVrXH9RA5SO4GzVRa6sP3kVbk;Advanced > Specialist;https://www.linkedin.com/company/new-open/about/;-;;new open;1;https://www.linkedin.com/jobs/view/4412802182/;https://www.linkedin.com/jobs/view/4412802182/;On-site;Senior, Associate;18/05/2026;;Rio de Janeiro;RJ;Região Sudeste;Brasil;América do Sul;gerente projetos
42;PagBank;Analista de Projetos Sr.;São Paulo (SP);18/05 17:00;https://www.linkedin.com/jobs/view/4415698890/;https://media.licdn.com/dms/image/v2/D4D0BAQFNHYkM6Qxejw/company-logo_100_100/B4DZyexaT9I8AY-/0/1772190279667/pagbank_logo?e=1780531200&v=beta&t=4xOh710M9ehx2KUxBDBZ_o0BRhVGJhXN0BMxvetRbE8;Advanced > Specialist;https://www.linkedin.com/company/pagbank/about/;Serviços Financeiros;Gupy;pagbank;3.0;https://www.linkedin.com/jobs/view/4415698890/;https://www.linkedin.com/jobs/view/4415698890/;Hybrid;Senior, Associate;18/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente projetos
43;Pagtel;Gerente de projetos júnior;Barueri (SP);18/05 17:00;https://www.linkedin.com/jobs/view/4412836411/;https://media.licdn.com/dms/image/v2/C560BAQHml8iDZ0ZcMw/company-logo_100_100/company-logo_100_100/0/1651070492517/pagtel_servicos_de_telecomunica_es_ltda_logo?e=1780531200&v=beta&t=z-9Pr33SmNZUTj6lZtPUVx67ZJL-ZSfVn0gcdx2ih1I;Middle > Manager;https://www.linkedin.com/company/pagtel/about/;-;LinkedIn (Easy Apply);pagtel;1.0;https://www.linkedin.com/jobs/view/4412836411/;https://www.linkedin.com/jobs/view/4412836411/;Hybrid;Mid, Junior, Liderança/Gerência;18/05/2026;Barueri;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente projetos
44;Persona;Project Manager (Work From Home);América Latina;18/05 06:00;https://www.linkedin.com/jobs/view/4415615374/;https://media.licdn.com/dms/image/v2/D560BAQFBONOpYEyekA/company-logo_100_100/B56Zqm5c0MJsAQ-/0/1763736670143/personatalent_logo?e=1780531200&v=beta&t=h0B59PKtM--DhbuI05awi4BfYcn0a2FeG9H3DPHEfTU;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/persona/about/;-;tally.so;persona;1.0;https://www.linkedin.com/jobs/view/4415615374/;https://www.linkedin.com/jobs/view/4415615374/;Remote;Liderança/Gerência;18/05/2026;;;;;;América Latina;gerente projetos
45;Provider IT;10179 - Senior Consultant - Gerente de Projetos - Hibrido;Grande São Paulo (SP) ;18/05 16:00;https://www.linkedin.com/jobs/view/4415693516/;https://media.licdn.com/dms/image/v2/D4D0BAQHUieUBcVuQxA/company-logo_100_100/B4DZ0lR0wTIAAU-/0/1774446923201/provider_it_logo?e=1780531200&v=beta&t=5_vrSj5eL5jPrQc940rQA4F98c6jRRlngd8OmeC2v5Y;Middle > Manager;https://www.linkedin.com/company/provider-it/about/;Software e Serviços de TI;;provider it;1;https://www.linkedin.com/jobs/view/4415693516/;https://www.linkedin.com/jobs/view/4415693516/;Hybrid;Senior, Mid, Liderança/Gerência, Consultor;18/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente projetos
46;Quality Digital;Gerente de Projetos IaC (Infrastructure as Code);Brasil;18/05 10:00;https://www.linkedin.com/jobs/view/4415648743/;https://media.licdn.com/dms/image/v2/D4D0BAQFGFZ92Yq8iOg/company-logo_100_100/B4DZgewRZ8GQAU-/0/1752862628198/qualitydigital_logo?e=1780531200&v=beta&t=snrSDOtfnxbMvtZcTKWeVAch7ylY23Piuge4O6M_LJY;Middle > Manager;https://www.linkedin.com/company/quality-digital/about/;Infraestrutura;LinkedIn (Easy Apply);quality digital;1.0;https://www.linkedin.com/jobs/view/4415648743/;https://www.linkedin.com/jobs/view/4415648743/;Remote;Mid, Liderança/Gerência;18/05/2026;;;;;Brasil;América do Sul;gerente projetos
47;SNEWS Broadcast Solutions;Analista de projetos;Brasília (DF);18/05 13:00;https://www.linkedin.com/jobs/view/4412816458/;https://media.licdn.com/dms/image/v2/C4D0BAQGgPAqhpVyabw/company-logo_100_100/company-logo_100_100/0/1653499829700/snews_logo?e=1780531200&v=beta&t=aM131_0_iwsmLsPppRpW5wmq-nNaD8a9SFbP6Euczrc;Advanced > Specialist;https://www.linkedin.com/company/snews-broadcast-solutions/about/;Software e Serviços de TI;;snews broadcast solutions;1;https://www.linkedin.com/jobs/view/4412816458/;https://www.linkedin.com/jobs/view/4412816458/;On-site;Associate;18/05/2026;;Distrito Federal;DF;Região Centro-Oeste;Brasil;América do Sul;gerente projetos
48;Semantix;Analista de Mudanças (GMO) – Projetos SAP;Cabreúva (SP);17/05 22:00;https://www.linkedin.com/jobs/view/4415708120/;https://media.licdn.com/dms/image/v2/C4D0BAQGarJJfg0ceWg/company-logo_100_100/company-logo_100_100/0/1679083446867/semantixai_logo?e=1780531200&v=beta&t=F6dvXn36YYo4XTaI7uQlDga9xshQq_-SK0XccImKUhc;Advanced > Specialist;https://www.linkedin.com/company/semantix/about/;Software e Serviços de TI;;semantix;1.0;https://www.linkedin.com/jobs/view/4415708120/;https://www.linkedin.com/jobs/view/4415708120/;Hybrid;Associate, SAP, Change Mgt;18/05/2026;Cabreúva;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente projetos
49;Sycomp;LATAM Decom Project Manager;Brasil;18/05 17:00;https://www.linkedin.com/jobs/view/4415706531/;https://media.licdn.com/dms/image/v2/C560BAQHTrCbH8CNH5g/company-logo_100_100/company-logo_100_100/0/1670457576108/sycomp_logo?e=1780531200&v=beta&t=4BMUjWfjjWttGL0qHgzI--RYLGZ49wSz52Si8_LoS6I;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/sycomp/about/;-;;sycomp;1;https://www.linkedin.com/jobs/view/4415706531/;https://www.linkedin.com/jobs/view/4415706531/;Remote;Liderança/Gerência;18/05/2026;;;;;Brasil;América do Sul;gerente projetos
50;The 8Agency;Marketing Project Manager Sr;SP;18/05 11:00;https://www.linkedin.com/jobs/view/4412801226/;https://media.licdn.com/dms/image/v2/D4D0BAQGdXIdrf3C5ZA/company-logo_100_100/B4DZwBJDbsG8AQ-/0/1769545676972/the_8agency_logo?e=1780531200&v=beta&t=3Fvn_afh35Mi5AsBEgCwujldPCEJT6jXvaIhbjjAnLQ;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/the-8agency/about/;Marketing e Publicidade Marketing;LinkedIn (Easy Apply);the 8agency;1.0;https://www.linkedin.com/jobs/view/4412801226/;https://www.linkedin.com/jobs/view/4412801226/;Hybrid;Senior, Liderança/Gerência, Marketing/Mídia;18/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul;gerente projetos
51;The TalentHQ;Project Manager;América Latina;18/05 12:00;https://www.linkedin.com/jobs/view/4415143083/;https://media.licdn.com/dms/image/v2/D4E0BAQHEfIdoJWd0MA/company-logo_100_100/company-logo_100_100/0/1718748039680/the_talenthq_logo?e=1780531200&v=beta&t=1Z5hxZX-wxxE1m2ckmvTC3HBbYYOfWAxjAAhgR5IAb4;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/the-talenthq/about/;-;www.careers-page.com;the talenthq;1.0;https://www.linkedin.com/jobs/view/4415143083/;https://www.linkedin.com/jobs/view/4415143083/;Remote;Liderança/Gerência;18/05/2026;;;;;;América Latina;gerente projetos
52;Votorantim Cimentos;Consultora/Consultor Projetos Insumos Estratégicos;Brasília (DF);18/05 12:00;https://www.linkedin.com/jobs/view/4416246595/;https://media.licdn.com/dms/image/v2/D4D0BAQGWOyYRqbJArw/company-logo_100_100/B4DZwdumMMIYAQ-/0/1770025281428/vcimentosoficial_logo?e=1780531200&v=beta&t=GlKc06QRqhPZNo0c6muPdmqP6FSGgjo2540alTO70Vk;Advanced > Specialist;https://www.linkedin.com/company/votorantim-cimentos/about/;Software e Serviços de TI;Gupy;votorantim cimentos;1.0;https://www.linkedin.com/jobs/view/4416246595/;https://www.linkedin.com/jobs/view/4416246595/;On-site;Consultor;18/05/2026;;Distrito Federal;DF;Região Centro-Oeste;Brasil;América do Sul;gerente projetos
