Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent;Keywords
325;TOTVS;[Tech] Engenharia de Software Sênior - .NET/Angular;Belo Horizonte (MG);22/05 14:00;https://www.linkedin.com/jobs/view/4414337551/;https://media.licdn.com/dms/image/v2/D4D0BAQEATHMUo8sshg/company-logo_100_100/B4DZd7OnTLHkAQ-/0/1750119118553/totvs_logo?e=1781136000&v=beta&t=VPFaOp0644PfErX1NJiOfbA-KSr8Jdi91XC3cYNzlCE;-;https://www.linkedin.com/company/totvs/about/;Software e Serviços de TI;Totvs;totvs;4.0;https://www.linkedin.com/jobs/view/4414337551/;https://www.linkedin.com/jobs/view/4414337551/;Hybrid;Senior, TI/Tech, Engenharia Geral;23/05/2026;Belo Horizonte;Minas Gerais;MG;Região Sudeste;Brasil;América do Sul;engenheiro tecnologia da informação
326;TOTVS;[Tech] Engenharia de Software FullStack Júnior - Java (Remoto);Cascavel (PR);23/05 01:00;https://www.linkedin.com/jobs/view/4414801501/;https://media.licdn.com/dms/image/v2/D4D0BAQEATHMUo8sshg/company-logo_100_100/B4DZd7OnTLHkAQ-/0/1750119118553/totvs_logo?e=1781136000&v=beta&t=VPFaOp0644PfErX1NJiOfbA-KSr8Jdi91XC3cYNzlCE;-;https://www.linkedin.com/company/totvs/about/;Software e Serviços de TI;Totvs;totvs;4.0;https://www.linkedin.com/jobs/view/4414801501/;https://www.linkedin.com/jobs/view/4414801501/;Remote;Junior, TI/Tech, Full Stack, Engenharia Geral;23/05/2026;;Paraná;PR;Região Sul;Brasil;América do Sul;engenheiro tecnologia da informação
327;TOTVS;[Tech] Engenharia de Software Pleno - Front-End;Joinville (SC);22/05 14:00;https://www.linkedin.com/jobs/view/4414348512/;https://media.licdn.com/dms/image/v2/D4D0BAQEATHMUo8sshg/company-logo_100_100/B4DZd7OnTLHkAQ-/0/1750119118553/totvs_logo?e=1781136000&v=beta&t=VPFaOp0644PfErX1NJiOfbA-KSr8Jdi91XC3cYNzlCE;-;https://www.linkedin.com/company/totvs/about/;Software e Serviços de TI;Totvs;totvs;4.0;https://www.linkedin.com/jobs/view/4414348512/;https://www.linkedin.com/jobs/view/4414348512/;Hybrid;Mid, TI/Tech, Frontend, Engenharia Geral;23/05/2026;Joinville;Santa Catarina;SC;Região Sul;Brasil;América do Sul;engenheiro tecnologia da informação
328;Tata Consultancy Services;Profissionais de Salesforce;Paraná, Brasil;22/05 14:00;https://www.linkedin.com/jobs/view/4418182107/;https://media.licdn.com/dms/image/v2/D4D0BAQGsGR9p4ikS5w/company-logo_100_100/company-logo_100_100/0/1708946550425/tata_consultancy_services_logo?e=1781136000&v=beta&t=sjraVupDWKqV3miTiXc9BECcRIduDQfW5DTwwkF05-Y;-;https://www.linkedin.com/company/tata-consultancy-services/about/;Vendas e Suporte;LinkedIn (Easy Apply);tata consultancy services;1.0;https://www.linkedin.com/jobs/view/4418182107/;https://www.linkedin.com/jobs/view/4418182107/;Hybrid;Salesforce/CRM, Vendas / Comercial;23/05/2026;;Paraná;PR;Região Sul;Brasil;América do Sul;engenheiro tecnologia da informação
329;Tata Consultancy Services;Sênior Java Developer;SP;22/05 14:00;https://www.linkedin.com/jobs/view/4418148970/;https://media.licdn.com/dms/image/v2/D4D0BAQGsGR9p4ikS5w/company-logo_100_100/company-logo_100_100/0/1708946550425/tata_consultancy_services_logo?e=1781136000&v=beta&t=sjraVupDWKqV3miTiXc9BECcRIduDQfW5DTwwkF05-Y;Advanced > Information Technology;https://www.linkedin.com/company/tata-consultancy-services/about/;-;LinkedIn (Easy Apply);tata consultancy services;1.0;https://www.linkedin.com/jobs/view/4418148970/;https://www.linkedin.com/jobs/view/4418148970/;Hybrid;Senior;23/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul;engenheiro tecnologia da informação
330;Tecla;Agent Systems Engineer;América Latina;22/05 19:00;https://www.linkedin.com/jobs/view/4418436267/;https://media.licdn.com/dms/image/v2/C560BAQFvEcSA9f3Maw/company-logo_100_100/company-logo_100_100/0/1630431895132/tecla_io_logo?e=1781136000&v=beta&t=2tnRUSs_9Dx7Z6IId91WgRJuz7gyjSSIITueJFCWwlI;Advanced > Information Technology;https://www.linkedin.com/company/tecla/about/;-;;tecla;1.0;https://www.linkedin.com/jobs/view/4418436267/;https://www.linkedin.com/jobs/view/4418436267/;Remote;Engenharia Geral;23/05/2026;;;;;;América Latina;engenheiro tecnologia da informação
331;Telnyx;Software Engineer, AI Squads;São Paulo (SP);23/05 11:00;https://www.linkedin.com/jobs/view/4400602075/;https://media.licdn.com/dms/image/v2/D560BAQEA6ADmnJr6QQ/company-logo_100_100/B56ZiLKqXOG4AQ-/0/1754681485056/telnyx_logo?e=1781136000&v=beta&t=g8MYYMqe9uSIrJ-9FA8IjXSc7z5gyzw4yHZ01rGX8Pg;Advanced > Information Technology;https://www.linkedin.com/company/telnyx/about/;Inteligência Artificial;;telnyx;1.0;https://www.linkedin.com/jobs/view/4400602075/;https://www.linkedin.com/jobs/view/4400602075/;On-site;Inteligência Artificial, TI/Tech, Squad Leader, Engenharia Geral;23/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;engenheiro tecnologia da informação
332;Thompson Management Horizons;Engenheiro de Software Angula e Java;Taubaté (SP);22/05 14:00;https://www.linkedin.com/jobs/view/4418167015/;https://media.licdn.com/dms/image/v2/D4D0BAQEBZJGIimUSeQ/company-logo_100_100/B4DZu9shasJgAU-/0/1768414124362/thompsonmanagementhorizons_logo?e=1781136000&v=beta&t=6e683jnuCh4bPU6nAHO05bwSWKYLVyH4QiSF1eWcKzs;-;https://www.linkedin.com/company/thompson-management-horizons/about/;Software e Serviços de TI;;thompson management horizons;1;https://www.linkedin.com/jobs/view/4418167015/;https://www.linkedin.com/jobs/view/4418167015/;On-site;TI/Tech;23/05/2026;Taubaté;São Paulo;SP;Região Sudeste;Brasil;América do Sul;engenheiro tecnologia da informação
333;Turing;Remote Fullstack Engineer;Brasil;22/05 20:00;https://www.linkedin.com/jobs/view/4398942309/;https://media.licdn.com/dms/image/v2/D4D0BAQEMzTP7ySRl1w/company-logo_100_100/B4DZraOH1PGgAQ-/0/1764597727124?e=1781136000&v=beta&t=nzbee5OTS4uqUa7oyMwk_5SAQs_vCqsPLNOJOzDthGk;Advanced > Information Technology;https://www.linkedin.com/company/turing/about/;-;LinkedIn (Easy Apply);turing;1.0;https://www.linkedin.com/jobs/view/4398942309/;https://www.linkedin.com/jobs/view/4398942309/;Remote;Full Stack, Engenharia Geral;23/05/2026;;;;;Brasil;América do Sul;engenheiro tecnologia da informação
334;Turing;Remote Fullstack Engineer;Brasil;22/05 20:00;https://www.linkedin.com/jobs/view/4398930636/;https://media.licdn.com/dms/image/v2/D4D0BAQEMzTP7ySRl1w/company-logo_100_100/B4DZraOH1PGgAQ-/0/1764597727124?e=1781136000&v=beta&t=nzbee5OTS4uqUa7oyMwk_5SAQs_vCqsPLNOJOzDthGk;Advanced > Information Technology;https://www.linkedin.com/company/turing/about/;-;LinkedIn (Easy Apply);turing;1.0;https://www.linkedin.com/jobs/view/4398930636/;https://www.linkedin.com/jobs/view/4398930636/;Remote;Full Stack, Engenharia Geral;23/05/2026;;;;;Brasil;América do Sul;engenheiro tecnologia da informação
335;Turing;Remote Fullstack Engineer;Brasil;22/05 14:00;https://www.linkedin.com/jobs/view/4398947291/;https://media.licdn.com/dms/image/v2/D4D0BAQEMzTP7ySRl1w/company-logo_100_100/B4DZraOH1PGgAQ-/0/1764597727124?e=1781136000&v=beta&t=nzbee5OTS4uqUa7oyMwk_5SAQs_vCqsPLNOJOzDthGk;Advanced > Information Technology;https://www.linkedin.com/company/turing/about/;-;LinkedIn (Easy Apply);turing;1.0;https://www.linkedin.com/jobs/view/4398947291/;https://www.linkedin.com/jobs/view/4398947291/;Remote;Full Stack, Engenharia Geral;23/05/2026;;;;;Brasil;América do Sul;engenheiro tecnologia da informação
336;Turing;Remote Fullstack Engineer;Brasil;22/05 14:00;https://www.linkedin.com/jobs/view/4398922839/;https://media.licdn.com/dms/image/v2/D4D0BAQEMzTP7ySRl1w/company-logo_100_100/B4DZraOH1PGgAQ-/0/1764597727124?e=1781136000&v=beta&t=nzbee5OTS4uqUa7oyMwk_5SAQs_vCqsPLNOJOzDthGk;Advanced > Information Technology;https://www.linkedin.com/company/turing/about/;-;LinkedIn (Easy Apply);turing;1.0;https://www.linkedin.com/jobs/view/4398922839/;https://www.linkedin.com/jobs/view/4398922839/;Remote;Full Stack, Engenharia Geral;23/05/2026;;;;;Brasil;América do Sul;engenheiro tecnologia da informação
