Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent;Keywords
457;Scale Army Careers;Shopify Developer;América Latina;19/05 16:00;https://www.linkedin.com/jobs/view/4414404197/;https://media.licdn.com/dms/image/v2/D4E0BAQFM0QmPI3hK_g/company-logo_100_100/B4EZsjht6zHgAQ-/0/1765827600477/scalearmycareers_logo?e=1780531200&v=beta&t=aL-Uo9tvYtgThinO5DFSuTO3sj1vD7fVMuDGQDy7kX8;Advanced > Information Technology;https://www.linkedin.com/company/scale-army-careers/about/;-;jobs.ashbyhq.com;scale army careers;1.0;https://www.linkedin.com/jobs/view/4414404197/;https://www.linkedin.com/jobs/view/4414404197/;Remote;-;19/05/2026;;;;;;América Latina;engenheiro tecnologia da informação
458;Serasa Experian;Analista de SRE Júnior;Blumenau (SC);18/05 17:00;https://www.linkedin.com/jobs/view/4367681347/;https://media.licdn.com/dms/image/v2/D4D0BAQGW4EB1A1aUYQ/company-logo_100_100/B4DZyL2uQ_IUAY-/0/1771872904949/serasaexperian_logo?e=1780531200&v=beta&t=Cz2gOeMgCsP9HnHDlPWSTHGQNJbiHGLKebYeK-2eZB0;Advanced > Specialist;https://www.linkedin.com/company/serasa-experian/about/;-;Smartrecruiters;serasa experian;4.0;https://www.linkedin.com/jobs/view/4367681347/;https://www.linkedin.com/jobs/view/4367681347/;Hybrid;Junior, Associate;19/05/2026;Blumenau;Santa Catarina;SC;Região Sul;Brasil;América do Sul;engenheiro tecnologia da informação
459;Shippify Inc;Supervisor de Operações - Aracaju / SE;Aracaju (SE);19/05 11:00;https://www.linkedin.com/jobs/view/4416655519/;https://media.licdn.com/dms/image/v2/D4D0BAQGfYMv88Sp3Sw/company-logo_100_100/B4DZxD7zsvJwAQ-/0/1770666278104/shippify_logo?e=1780531200&v=beta&t=vvuak5rr7byzLvXsIuk_zMYUluyaXa5XrnHR5wZTFMQ;Middle > Manager;https://www.linkedin.com/company/shippify-inc/about/;-;;shippify inc;1;https://www.linkedin.com/jobs/view/4416655519/;https://www.linkedin.com/jobs/view/4416655519/;On-site;Mid, Liderança/Gerência;19/05/2026;Aracaju;Sergipe;SE;Região Nordeste;Brasil;América do Sul;engenheiro tecnologia da informação
460;SoTalent;Software Engineer;Brasil;19/05 11:00;https://www.linkedin.com/jobs/view/4413311967/;https://media.licdn.com/dms/image/v2/D4E0BAQF7Uh_jfFL2Ew/company-logo_100_100/company-logo_100_100/0/1738615867950/sotalentjobs_logo?e=1780531200&v=beta&t=dd1keAAVdV4CHbE-rDVem757bRNuhuetKCAvZBNexRc;Advanced > Information Technology;https://www.linkedin.com/company/sotalent/about/;Software e Serviços de TI;;sotalent;1;https://www.linkedin.com/jobs/view/4413311967/;https://www.linkedin.com/jobs/view/4413311967/;Remote;TI/Tech, Engenharia Geral;19/05/2026;;;;;Brasil;América do Sul;engenheiro tecnologia da informação
461;Spread Tecnologia;DESENVOLVEDOR WEB  OIC e OFS Oracle Pl - RHA1126;Brasil;19/05 14:00;https://www.linkedin.com/jobs/view/4413339239/;https://media.licdn.com/dms/image/v2/D4D0BAQGM4CpzPFVwlw/company-logo_100_100/company-logo_100_100/0/1688389524429/spread_logo?e=1780531200&v=beta&t=Fw0G3PIawAil_G4qIMOCLb-kEdqMjRvRM21VMNQAKOA;-;https://www.linkedin.com/company/spread-tecnologia/about/;Recursos Humanos;Gupy;spread tecnologia;3.0;https://www.linkedin.com/jobs/view/4413339239/;https://www.linkedin.com/jobs/view/4413339239/;Remote;Mid;19/05/2026;;;;;Brasil;América do Sul;engenheiro tecnologia da informação
462;Spread Tecnologia;Desenvolvedor OIC e OFS Pleno;Brasil;19/05 10:00;https://www.linkedin.com/jobs/view/4415900303/;https://media.licdn.com/dms/image/v2/D4D0BAQGM4CpzPFVwlw/company-logo_100_100/company-logo_100_100/0/1688389524429/spread_logo?e=1780531200&v=beta&t=Fw0G3PIawAil_G4qIMOCLb-kEdqMjRvRM21VMNQAKOA;-;https://www.linkedin.com/company/spread-tecnologia/about/;-;Gupy;spread tecnologia;3.0;https://www.linkedin.com/jobs/view/4415900303/;https://www.linkedin.com/jobs/view/4415900303/;Remote;Mid;19/05/2026;;;;;Brasil;América do Sul;engenheiro tecnologia da informação
463;Stations;Desenvolvedor React Native;Belo Horizonte (MG);19/05 15:00;https://www.linkedin.com/jobs/view/4413359198/;https://media.licdn.com/dms/image/v2/D4D0BAQEFiVOAPE-XUg/company-logo_100_100/B4DZeofpH3HkAQ-/0/1750878557376/stationscloud_logo?e=1780531200&v=beta&t=RkHmWtJVUIWNYF6h18ES8J2PDl6DndDtXk8ADd8doX0;-;https://www.linkedin.com/company/stations/about/;Software e Serviços de TI;;stations;1;https://www.linkedin.com/jobs/view/4413359198/;https://www.linkedin.com/jobs/view/4413359198/;On-site;-;19/05/2026;Belo Horizonte;Minas Gerais;MG;Região Sudeste;Brasil;América do Sul;engenheiro tecnologia da informação
464;Synergy LATAM;Data Engineer;América Latina;18/05 17:00;https://www.linkedin.com/jobs/view/4416940680/;https://media.licdn.com/dms/image/v2/D4E0BAQH61zkoEBP8gw/company-logo_100_100/B4EZqeNrFXIQAQ-/0/1763590976195/synergybc_latam_logo?e=1780531200&v=beta&t=p8o-31-kbU4mFSWJgWyrY8M3WZA8eF80eOF4SXD4Uig;Data & Ai > Data Engineering;https://www.linkedin.com/company/synergy-latam/about/;Dados e Analytics;;synergy latam;1;https://www.linkedin.com/jobs/view/4416940680/;https://www.linkedin.com/jobs/view/4416940680/;Remote;Dados/Analytics, Engenharia Geral;19/05/2026;;;;;;América Latina;engenheiro tecnologia da informação
465;TGS;Scientific Software Developer;Grande Rio de Janeiro (RJ);18/05 17:00;https://www.linkedin.com/jobs/view/4412246125/;https://media.licdn.com/dms/image/v2/D4E0BAQGIjxM5msJz9w/company-logo_100_100/company-logo_100_100/0/1719847350843/tgs_220114_logo?e=1780531200&v=beta&t=b6XP2us03rzsb84deroqmurwon8SVZAjgdK7oLiDTXk;Advanced > Information Technology;https://www.linkedin.com/company/tgs/about/;Software e Serviços de TI;;tgs;1;https://www.linkedin.com/jobs/view/4412246125/;https://www.linkedin.com/jobs/view/4412246125/;On-site;TI/Tech;19/05/2026;;Rio de Janeiro;RJ;Região Sudeste;Brasil;América do Sul;engenheiro tecnologia da informação
466;TIVIT LATAM;DevOps & Cloud Network Engineer (AWS CDK);América Latina;19/05 14:00;https://www.linkedin.com/jobs/view/4413338204/;https://media.licdn.com/dms/image/v2/D4D0BAQF0wDEgSjut6A/company-logo_100_100/B4DZhm71PIGQAQ-/0/1754073618000?e=1780531200&v=beta&t=OcxeHKkgENVNBLHjh9j617UsirgkUbdImOhNAYRBKwI;Specific > Cloud;https://www.linkedin.com/company/tivit-latam/about/;Software e Serviços de TI;;tivit latam;1;https://www.linkedin.com/jobs/view/4413338204/;https://www.linkedin.com/jobs/view/4413338204/;Remote;Cloud (AWS/GCP/Azure), DevOps, Engenharia Geral, Infraestrutura/Redes;19/05/2026;;;;;;América Latina;engenheiro tecnologia da informação
467;TOTVS;[Engenharia] Analista Júnior | Java, Dados e Agilidade;Assis (SP);19/05 14:00;https://www.linkedin.com/jobs/view/4413329991/;https://media.licdn.com/dms/image/v2/D4D0BAQEATHMUo8sshg/company-logo_100_100/B4DZd7OnTLHkAQ-/0/1750119118553/totvs_logo?e=1780531200&v=beta&t=oHfjdalDO3W3BzsOTBoGTxQJ5qJX2vQFG4kf7Fr7QOI;Advanced > Specialist;https://www.linkedin.com/company/totvs/about/;Dados e Analytics;Totvs;totvs;4.0;https://www.linkedin.com/jobs/view/4413329991/;https://www.linkedin.com/jobs/view/4413329991/;Remote;Junior, Associate, Dados/Analytics, Engenharia Geral;19/05/2026;Assis;São Paulo;SP;Região Sudeste;Brasil;América do Sul;engenheiro tecnologia da informação
468;TOTVS;[Tech] Engenharia de Software Júnior - Java;Assis (SP);19/05 14:00;https://www.linkedin.com/jobs/view/4413329994/;https://media.licdn.com/dms/image/v2/D4D0BAQEATHMUo8sshg/company-logo_100_100/B4DZd7OnTLHkAQ-/0/1750119118553/totvs_logo?e=1780531200&v=beta&t=oHfjdalDO3W3BzsOTBoGTxQJ5qJX2vQFG4kf7Fr7QOI;-;https://www.linkedin.com/company/totvs/about/;Software e Serviços de TI;Totvs;totvs;4.0;https://www.linkedin.com/jobs/view/4413329994/;https://www.linkedin.com/jobs/view/4413329994/;Hybrid;Junior, TI/Tech, Engenharia Geral;19/05/2026;Assis;São Paulo;SP;Região Sudeste;Brasil;América do Sul;engenheiro tecnologia da informação
469;TOTVS;[Tech] Engenharia de Software Sênior - PHP | Feedz;Brasil;19/05 16:00;https://www.linkedin.com/jobs/view/4413344607/;https://media.licdn.com/dms/image/v2/D4D0BAQEATHMUo8sshg/company-logo_100_100/B4DZd7OnTLHkAQ-/0/1750119118553/totvs_logo?e=1780531200&v=beta&t=oHfjdalDO3W3BzsOTBoGTxQJ5qJX2vQFG4kf7Fr7QOI;-;https://www.linkedin.com/company/totvs/about/;Software e Serviços de TI;Totvs;totvs;4.0;https://www.linkedin.com/jobs/view/4413344607/;https://www.linkedin.com/jobs/view/4413344607/;Remote;Senior, TI/Tech, Engenharia Geral;19/05/2026;;;;;Brasil;América do Sul;engenheiro tecnologia da informação
470;TOTVS;[Tech] Analista Sênior de Engenharia de Software;São Paulo (SP);19/05 14:00;https://www.linkedin.com/jobs/view/4413346055/;https://media.licdn.com/dms/image/v2/D4D0BAQEATHMUo8sshg/company-logo_100_100/B4DZd7OnTLHkAQ-/0/1750119118553/totvs_logo?e=1780531200&v=beta&t=oHfjdalDO3W3BzsOTBoGTxQJ5qJX2vQFG4kf7Fr7QOI;Advanced > Specialist;https://www.linkedin.com/company/totvs/about/;Software e Serviços de TI;Totvs;totvs;4.0;https://www.linkedin.com/jobs/view/4413346055/;https://www.linkedin.com/jobs/view/4413346055/;Hybrid;Senior, Associate, TI/Tech, Engenharia Geral;19/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;engenheiro tecnologia da informação
471;TOTVS;[Tech] Arquiteto de Software - ADVPL;São Paulo (SP);19/05 14:00;https://www.linkedin.com/jobs/view/4413336854/;https://media.licdn.com/dms/image/v2/D4D0BAQEATHMUo8sshg/company-logo_100_100/B4DZd7OnTLHkAQ-/0/1750119118553/totvs_logo?e=1780531200&v=beta&t=oHfjdalDO3W3BzsOTBoGTxQJ5qJX2vQFG4kf7Fr7QOI;Architecture;https://www.linkedin.com/company/totvs/about/;Software e Serviços de TI;Totvs;totvs;4.0;https://www.linkedin.com/jobs/view/4413336854/;https://www.linkedin.com/jobs/view/4413336854/;Hybrid;TI/Tech;19/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;engenheiro tecnologia da informação
472;TQI;Engenheira(o) de Dados Pleno - Híbrido;SP;19/05 15:00;https://www.linkedin.com/jobs/view/4413359211/;https://media.licdn.com/dms/image/v2/D4D0BAQGtapYtInOm8A/company-logo_100_100/B4DZZn8WrsHIAQ-/0/1745500597415/tqi_it_logo?e=1780531200&v=beta&t=LrNaDdD6rzVvk6ymCfPCm4tFgKuySSsV_3cshuCj37I;-;https://www.linkedin.com/company/tqi/about/;Dados e Analytics;;tqi;1.0;https://www.linkedin.com/jobs/view/4413359211/;https://www.linkedin.com/jobs/view/4413359211/;Hybrid;Mid, Dados/Analytics;19/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul;engenheiro tecnologia da informação
473;TQI;Engenheiro(a) de Software Back-end Java Pleno 100% Remoto;SP;19/05 15:00;https://www.linkedin.com/jobs/view/4413342480/;https://media.licdn.com/dms/image/v2/D4D0BAQGtapYtInOm8A/company-logo_100_100/B4DZZn8WrsHIAQ-/0/1745500597415/tqi_it_logo?e=1780531200&v=beta&t=LrNaDdD6rzVvk6ymCfPCm4tFgKuySSsV_3cshuCj37I;-;https://www.linkedin.com/company/tqi/about/;Software e Serviços de TI;;tqi;1.0;https://www.linkedin.com/jobs/view/4413342480/;https://www.linkedin.com/jobs/view/4413342480/;Remote;Mid, TI/Tech, Backend;19/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul;engenheiro tecnologia da informação
474;Talkpush;Solutions Engineer — Brazil (Remote);São Paulo (SP);19/05 04:00;https://www.linkedin.com/jobs/view/4415752989/;https://media.licdn.com/dms/image/v2/D560BAQH293Edt-PYbA/company-logo_100_100/B56ZzcioDnJ8AU-/0/1773226590895/talkpush_logo?e=1780531200&v=beta&t=UfaLoAfQZVlGUduHKg6Qa3h_G92Vin7ubCgqqkq0sEY;Advanced > Information Technology;https://www.linkedin.com/company/talkpush/about/;Software e Serviços de TI;;talkpush;1;https://www.linkedin.com/jobs/view/4415752989/;https://www.linkedin.com/jobs/view/4415752989/;Remote;Engenharia Geral;19/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;engenheiro tecnologia da informação
475;Tata Consultancy Services;Sr Front End Spotfire Engineer;Brasil;19/05 15:00;https://www.linkedin.com/jobs/view/4416916707/;https://media.licdn.com/dms/image/v2/D4D0BAQGsGR9p4ikS5w/company-logo_100_100/company-logo_100_100/0/1708946550425/tata_consultancy_services_logo?e=1780531200&v=beta&t=DRUEvZPGQ1BTsUMmmh8jHYVRIfvNNsx8bo_bXFefqMw;Advanced > Information Technology;https://www.linkedin.com/company/tata-consultancy-services/about/;-;LinkedIn (Easy Apply);tata consultancy services;1.0;https://www.linkedin.com/jobs/view/4416916707/;https://www.linkedin.com/jobs/view/4416916707/;Remote;Senior, Frontend, Engenharia Geral;19/05/2026;;;;;Brasil;América do Sul;engenheiro tecnologia da informação
