Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent;Keywords
62;Tegra;Administrador de Dados Sênior;Brasília (DF);07/05 14:00;https://www.linkedin.com/jobs/view/4410195577/;https://media.licdn.com/dms/image/v2/D4D0BAQGOGEcVh8t5Ow/company-logo_100_100/B4DZvYZglKJMAQ-/0/1768862124937/tegra_ltda_logo?e=1781136000&v=beta&t=IYk1QBZq6ICn7cukcJxSIZyNLxc0BCx84tByg0_i1OM;-;https://www.linkedin.com/company/tegra/about/;Dados e Analytics;;tegra;1;https://www.linkedin.com/jobs/view/4410195577/;https://www.linkedin.com/jobs/view/4410195577/;On-site;Senior, Dados/Analytics;21/05/2026;;Distrito Federal;DF;Região Centro-Oeste;Brasil;América do Sul;administrador banco de dados
63;Think IT;DBA Pleno;São Paulo (SP);15/05 14:00;https://www.linkedin.com/jobs/view/4415992195/;https://media.licdn.com/dms/image/v2/D4D0BAQEfh5OmhJjw_g/company-logo_100_100/B4DZ2czV.LHsAQ-/0/1776452199516/grupothinkbr_logo?e=1781136000&v=beta&t=2UeWSyu3IhGYDrJRMLRFs02R-EfbC6Gc4oYmXyyR34g;-;https://www.linkedin.com/company/think-it/about/;Software e Serviços de TI;;think it;1;https://www.linkedin.com/jobs/view/4415992195/;https://www.linkedin.com/jobs/view/4415992195/;Hybrid;Mid;21/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;administrador banco de dados
64;Topaz;Sr Database Administrator;Indaiatuba (SP);07/05 14:00;https://www.linkedin.com/jobs/view/4411988210/;https://media.licdn.com/dms/image/v2/D560BAQF_T3K-aJ26kg/company-logo_100_100/company-logo_100_100/0/1719271625524/topazevolution_logo?e=1781136000&v=beta&t=5x49tyArON_3cLZ8Gw9b2O2YZDTN5woKAP22dxf7TRM;-;https://www.linkedin.com/company/topaz/about/;Dados e Analytics;Gupy;topaz;1.0;https://www.linkedin.com/jobs/view/4411988210/;https://www.linkedin.com/jobs/view/4411988210/;Hybrid;Senior;21/05/2026;Indaiatuba;São Paulo;SP;Região Sudeste;Brasil;América do Sul;administrador banco de dados
65;TripleTech IT Solutions;Administrador de Banco de Dados Júnior;Grande São Paulo (SP) ;21/05 05:00;https://www.linkedin.com/jobs/view/4417484145/;https://media.licdn.com/dms/image/v2/C4E0BAQGD2Jnru3Ko6w/company-logo_100_100-alternative/company-logo_100_100-alternative/0/1630566797968/tripletech_it_solutions_logo?e=1781136000&v=beta&t=1xJ7p4lzr0tbo5mHgXs7Z8wKsyyznZ6HKdkC82vkMW0;-;https://www.linkedin.com/company/tripletech-it-solutions/about/;Dados e Analytics;;tripletech it solutions;1;https://www.linkedin.com/jobs/view/4417484145/;https://www.linkedin.com/jobs/view/4417484145/;On-site;Junior, Dados/Analytics;21/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul;administrador banco de dados
66;Trustly;Database Administrator;Vitória (ES);20/05 14:00;https://www.linkedin.com/jobs/view/4404125087/;https://media.licdn.com/dms/image/v2/D4D0BAQHA341YiwaGhg/company-logo_100_100/company-logo_100_100/0/1690194366981/trustly_logo?e=1781136000&v=beta&t=qhBniN26sSKX2gpnEBkCI7UZDyr560GtV8ucQASxLg4;-;https://www.linkedin.com/company/trustly/about/;Dados e Analytics;Lever;trustly;1.0;https://www.linkedin.com/jobs/view/4404125087/;https://www.linkedin.com/jobs/view/4404125087/;Remote;-;21/05/2026;Vitoria-Gasteiz;Euskadi;PV;;España;;administrador banco de dados
67;V8.TECH;Administrador de Banco de Dados SR Sql Server / Azure;Brasil;20/05 15:00;https://www.linkedin.com/jobs/view/4413641108/;https://media.licdn.com/dms/image/v2/D4D0BAQHo3u0xxQApOQ/company-logo_100_100/B4DZyU4J7hJoAQ-/0/1772024275112/v8tech_logo?e=1781136000&v=beta&t=fCIwp4xJGDauoOCgWzM-Q3KPBuIA02JJuJ6TZYvu--c;-;https://www.linkedin.com/company/v8-tech/about/;Dados e Analytics;;v8.tech;1.0;https://www.linkedin.com/jobs/view/4413641108/;https://www.linkedin.com/jobs/view/4413641108/;Remote;Senior, Cloud (AWS/GCP/Azure), Dados/Analytics;21/05/2026;;;;;Brasil;América do Sul;administrador banco de dados
68;V8.TECH;Administrador de Banco de Dados PL MySQL/POSTGRES;São Paulo (SP);20/05 14:00;https://www.linkedin.com/jobs/view/4412825917/;https://media.licdn.com/dms/image/v2/D4D0BAQHo3u0xxQApOQ/company-logo_100_100/B4DZyU4J7hJoAQ-/0/1772024275112/v8tech_logo?e=1781136000&v=beta&t=fCIwp4xJGDauoOCgWzM-Q3KPBuIA02JJuJ6TZYvu--c;-;https://www.linkedin.com/company/v8-tech/about/;Dados e Analytics;;v8.tech;1.0;https://www.linkedin.com/jobs/view/4412825917/;https://www.linkedin.com/jobs/view/4412825917/;Remote;Mid, Dados/Analytics;21/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;administrador banco de dados
69;V8.TECH;Administrador de Banco de Dados SR Sql Server / Azure;São Paulo (SP);19/05 14:00;https://www.linkedin.com/jobs/view/4412839789/;https://media.licdn.com/dms/image/v2/D4D0BAQHo3u0xxQApOQ/company-logo_100_100/B4DZyU4J7hJoAQ-/0/1772024275112/v8tech_logo?e=1781136000&v=beta&t=fCIwp4xJGDauoOCgWzM-Q3KPBuIA02JJuJ6TZYvu--c;-;https://www.linkedin.com/company/v8-tech/about/;Dados e Analytics;;v8.tech;1.0;https://www.linkedin.com/jobs/view/4412839789/;https://www.linkedin.com/jobs/view/4412839789/;Remote;Senior, Cloud (AWS/GCP/Azure), Dados/Analytics;21/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul;administrador banco de dados
70;Vortigo Digital;Database Reliability Engineer - DBRE;Brasil;07/05 14:00;https://www.linkedin.com/jobs/view/4414101986/;https://media.licdn.com/dms/image/v2/D4E0BAQF1fp2q0M5HdQ/company-logo_100_100/B4EZsnxoLIJgAc-/0/1765898880384/vortigo_logo?e=1781136000&v=beta&t=Ao3MYMaSk1YTKBr2i4Mg44L-vOnsULQWQO6NbLE1E0Q;Advanced > Information Technology;https://www.linkedin.com/company/vortigo-digital/about/;Dados e Analytics;;vortigo digital;1;https://www.linkedin.com/jobs/view/4414101986/;https://www.linkedin.com/jobs/view/4414101986/;Remote;DevOps, Engenharia Geral;21/05/2026;;;;;Brasil;América do Sul;administrador banco de dados
71;YO IT Consulting;Database Administrator - Remote;América Latina;16/05 14:00;https://www.linkedin.com/jobs/view/4415162099/;https://media.licdn.com/dms/image/v2/D4D0BAQGgyLGyTK9l7Q/company-logo_100_100/B4DZre8Hq3G4AQ-/0/1764676893975/yohritconsulting_logo?e=1781136000&v=beta&t=c1FH-D2KfV2NG0_aqAMJO3aVSMruair0-QBK5jvTpNc;-;https://www.linkedin.com/company/yo-it-consulting/about/;Consultoria e Assessoria;;yo it consulting;1;https://www.linkedin.com/jobs/view/4415162099/;https://www.linkedin.com/jobs/view/4415162099/;Remote;-;21/05/2026;;;;;;América Latina;administrador banco de dados
72;innolevels;Administrador de Banco de Dados Big Data  - RJ;Grande Rio de Janeiro (RJ);07/05 14:00;https://www.linkedin.com/jobs/view/4410652906/;https://media.licdn.com/dms/image/v2/C4D0BAQHTJl0dF22boA/company-logo_100_100/company-logo_100_100/0/1662223622824/innolevels_logo?e=1781136000&v=beta&t=d8tNRiRylu5PlxuAf3QpbWRoWJ78eSpg7yZRjM1b5AA;Data & Ai > Data Engineering;https://www.linkedin.com/company/innolevels/about/;Dados e Analytics;www.curriculum.com.br;innolevels;1.0;https://www.linkedin.com/jobs/view/4410652906/;https://www.linkedin.com/jobs/view/4410652906/;Remote;Dados/Analytics;21/05/2026;Petrópolis;Rio de Janeiro;RJ;;Brasil;América do Sul;administrador banco de dados
73;innolevels;DBA MySQL Sênior  - SP;Grande São Paulo (SP) ;07/05 14:00;https://www.linkedin.com/jobs/view/4410658774/;https://media.licdn.com/dms/image/v2/C4D0BAQHTJl0dF22boA/company-logo_100_100/company-logo_100_100/0/1662223622824/innolevels_logo?e=1781136000&v=beta&t=d8tNRiRylu5PlxuAf3QpbWRoWJ78eSpg7yZRjM1b5AA;-;https://www.linkedin.com/company/innolevels/about/;-;www.curriculum.com.br;innolevels;1.0;https://www.linkedin.com/jobs/view/4410658774/;https://www.linkedin.com/jobs/view/4410658774/;Remote;Senior;21/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul;administrador banco de dados
