Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date
132;TechnipFMC;ENGENHEIRO SERVIÇO PROJETOS SR;Grande Rio de Janeiro (RJ);23 hours ago;https://www.linkedin.com/jobs/view/4405448338/;https://media.licdn.com/dms/image/v2/D560BAQHw_lZxbXIEew/company-logo_100_100/company-logo_100_100/0/1702465362752/technipfmc_logo?e=1778716800&v=beta&t=beJLfgwvFhV-3685vdgvwzcs3jCDE1GDJ_Knz53oHD0;-;https://www.linkedin.com/company/technipfmc/about/;IT;careers.technipfmc.com;technipfmc;1.0;https://www.linkedin.com/jobs/view/4405448338/;https://careers.technipfmc.com/job/Rio-de-Janeiro-ECO-Sapucai-ENGENHEIRO-SERVI%C3%87O-PROJETOS-SR/1384592200/;Hybrid;Senior;23/04/2026
133;The Dream School;Analista de Projetos;Curitiba (PR);Easy Apply;https://www.linkedin.com/jobs/view/4402816384/;https://media.licdn.com/dms/image/v2/D560BAQEYhrToMrX8Fw/company-logo_100_100/company-logo_100_100/0/1727360973029?e=1778716800&v=beta&t=4dhKDcJie_JYrYeLPcOjkUvpiramjlUvawMCiauYxrw;Advanced > Specialist;https://www.linkedin.com/company/the-dream-school/about/;Marketing;LinkedIn (Easy Apply);the dream school;1.0;https://www.linkedin.com/jobs/view/4402816384/;https://www.linkedin.com/jobs/view/4402816384/;On-site;Associate;23/04/2026
134;Turner & Townsend;Gerente Sênior de Projetos de Construção - Real Estate, (Salvador/Bahia);Salvador (BA);Viewed;https://www.linkedin.com/jobs/view/4324440070/;https://media.licdn.com/dms/image/v2/C4E0BAQFRuJ5DEwjzMw/company-logo_100_100/company-logo_100_100/0/1650894278206/turner__townsend_logo?e=1778716800&v=beta&t=1EOzUf2f2wB6EQSXKMClyGYDvt7N0saBybySPngGdNY;Middle > Manager;https://www.linkedin.com/company/turner-townsend/about/;Construction;Smartrecruiters;turner & townsend;1.0;https://www.linkedin.com/jobs/view/4324440070/;https://jobs.smartrecruiters.com/TurnerTownsend/744000094243994-gerente-senior-de-projetos-de-construcao-real-estate-salvador-bahia-;On-site;Senior, Mid, Liderança/Gerência;23/04/2026
135;UNDP Careers;Project Coordinator (Open to Internal and External applicants);Grande Rio de Janeiro (RJ);Viewed;https://www.linkedin.com/jobs/view/4405420357/;https://media.licdn.com/dms/image/v2/D560BAQEFaUrr3YwPJQ/company-logo_100_100/company-logo_100_100/0/1684836331067/undpcareers_logo?e=1778716800&v=beta&t=jvjJNbLq3rbdh7Nvv79Zc6SZQZtmOSs4rnUN9OYNLzw;-;https://www.linkedin.com/company/undp-careers/about/;Marketing;Oracle;undp careers;1.0;https://www.linkedin.com/jobs/view/4405420357/;https://estm.fa.em2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/33589?utm_medium=jobshare;On-site;Mid, Intern;23/04/2026
136;Uber;BR Project Manager, Operations - Uber Advertising (Uber Ads);Grande São Paulo (SP) ;23 hours ago;https://www.linkedin.com/jobs/view/4405441713/;https://media.licdn.com/dms/image/v2/C4D0BAQFiYnR1Mbtxdg/company-logo_100_100/company-logo_100_100/0/1630552741617/uber_com_logo?e=1778716800&v=beta&t=ApIH4Y8QjjnfxPDsYhicFBXo-DCTcgQfWD-qp9oLBGU;Portfolio > Projetos > Project Manager;https://www.linkedin.com/company/uber/about/;IT;www.linkedin.com;uber;3.0;https://www.linkedin.com/jobs/view/4405441713/;https://www.linkedin.com/jobs/view/4404484267/;On-site;Liderança/Gerência;23/04/2026
137;Ubyfol;Coordenador de P&D - Laboratório;Uberaba (MG);5 hours ago;https://www.linkedin.com/jobs/view/4403231880/;https://media.licdn.com/dms/image/v2/D4D0BAQEyXaJAVrsZqQ/company-logo_100_100/B4DZjSlrv.H4AQ-/0/1755879751121/ubyfol_logo?e=1778716800&v=beta&t=q5MgKMjBqhPn2c1BawbMpAbPnJKGlDcpQcsak1p2CJI;Middle > Manager;https://www.linkedin.com/company/ubyfol/about/;Other;Gupy;ubyfol;1.0;https://www.linkedin.com/jobs/view/4403231880/;https://vemprauby.gupy.io/job/eyJqb2JJZCI6MTExNzU4OTcsInNvdXJjZSI6ImxpbmtlZGluIn0=?jobBoardSource=linkedin;On-site;Mid, Liderança/Gerência, Inovação/P&D;23/04/2026
138;UltraCon Consultoria;Gerente de Projetos SAP -Implantações S/4HANA end-to-end INGLÊS AVANÇADO;São Paulo (SP);2 hours ago;https://www.linkedin.com/jobs/view/4403252434/;https://media.licdn.com/dms/image/v2/D4D0BAQG-oSfuKQkM8g/company-logo_100_100/B4DZo8OqIKIAAQ-/0/1761947067281/ultracon_logo?e=1778716800&v=beta&t=s7EKWZCenA5UOSYv8OnpGLGVj2D8ZJ7ZMHcwiRunGVM;Middle > Manager;https://www.linkedin.com/company/ultracon-consultoria/about/;Consulting;LinkedIn (Easy Apply);ultracon consultoria;1.0;https://www.linkedin.com/jobs/view/4403252434/;https://www.linkedin.com/jobs/view/4403252434/;On-site;Inglês Fluente/Avançado, Mid, Liderança/Gerência, SAP, Implementação;23/04/2026
139;Ultragaz;PM - Product Manager;Grande São Paulo (SP) ;7 hours ago;https://www.linkedin.com/jobs/view/4405685288/;https://media.licdn.com/dms/image/v2/C4D0BAQGSPrcPb2IlRA/company-logo_100_100/company-logo_100_100/0/1630529116798/ultragaz_logo?e=1778716800&v=beta&t=do0TLn5Se50FBX6Jl-_em6XuJfzS9hKGLhdTBv0-7y8;Produtos > Product Manager;https://www.linkedin.com/company/ultragaz/about/;Marketing;LinkedIn (Easy Apply);ultragaz;1.0;https://www.linkedin.com/jobs/view/4405685288/;https://www.linkedin.com/jobs/view/4405685288/;On-site;Liderança/Gerência, Product Owner/Product Manager;23/04/2026
140;V.tal;Analista de Implantação de Projetos - Júnior;São Paulo (SP);Viewed;https://www.linkedin.com/jobs/view/4396158296/;https://media.licdn.com/dms/image/v2/D4D0BAQEV7Udy9Yb7jQ/company-logo_100_100/B4DZcTHFiSGYAQ-/0/1748372314672/v_tal_logo?e=1778716800&v=beta&t=S-8CqmsLi_vrgE1l5GCUyXcgZ0J_Z0XTQkaTqTv0T3I;Advanced > Specialist;https://www.linkedin.com/company/v-tal/about/;Marketing;Gupy;v.tal;1.0;https://www.linkedin.com/jobs/view/4396158296/;https://vtal.gupy.io/jobs/11044993?jobBoardSource=linkedin;On-site;Junior, Associate, Implementação;23/04/2026
141;Vertiv;Sr. Execution Manager;São Paulo (SP);Viewed;https://www.linkedin.com/jobs/view/4404534235/;https://media.licdn.com/dms/image/v2/D4E0BAQEcVIdwkXTu3A/company-logo_100_100/B4EZdkGpLHH0AQ-/0/1749731153187/vertiv_logo?e=1778716800&v=beta&t=hdxYqlHDgnG5jocjnH2RcJatqVLBbAOUyD5yH23niRo;Middle > Manager;https://www.linkedin.com/company/vertiv/about/;IT;Oracle;vertiv;2.0;https://www.linkedin.com/jobs/view/4404534235/;https://egup.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/job/20270543/?utm_medium=jobboard&utm_source=linkedin;On-site;Senior, Liderança/Gerência;23/04/2026
