Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date
1;Adobe;Account Director - Financial Services;São Paulo (SP);Viewed;https://www.linkedin.com/jobs/view/4381065201/;https://media.licdn.com/dms/image/v2/D560BAQHilaKdJueUVg/company-logo_100_100/B56ZodIp56HUAU-/0/1761425400481?e=1778112000&v=beta&t=--PU30pBhLOCC861bxH69__WGM2_rtdmqMUa82J-yB8;Specific > Sales > Account;https://www.linkedin.com/company/adobe/about/;Other;;adobe;5.0;https://www.linkedin.com/jobs/view/4381065201/;;On-site;Liderança/Gerência;18/04/2026
2;Adobe;Enterprise Sales Account Manager - Financial Services;São Paulo (SP);17 hours ago;https://www.linkedin.com/jobs/view/4381051909/;https://media.licdn.com/dms/image/v2/D560BAQHilaKdJueUVg/company-logo_100_100/B56ZodIp56HUAU-/0/1761425400481?e=1778112000&v=beta&t=--PU30pBhLOCC861bxH69__WGM2_rtdmqMUa82J-yB8;Specific > Sales > Account;https://www.linkedin.com/company/adobe/about/;Marketing;;adobe;5.0;https://www.linkedin.com/jobs/view/4381051909/;;On-site;Liderança/Gerência, Vendas / Comercial, Executivo de Contas;18/04/2026
3;Adobe;Head of LATAM Payments;São Paulo (SP);17 hours ago;https://www.linkedin.com/jobs/view/4381070072/;https://media.licdn.com/dms/image/v2/D560BAQHilaKdJueUVg/company-logo_100_100/B56ZodIp56HUAU-/0/1761425400481?e=1778112000&v=beta&t=--PU30pBhLOCC861bxH69__WGM2_rtdmqMUa82J-yB8;Leadership > Middle Management > Head;https://www.linkedin.com/company/adobe/about/;Other;;adobe;5.0;https://www.linkedin.com/jobs/view/4381070072/;;On-site;Liderança/Gerência;18/04/2026
4;Adobe;Lead Marketing Analyst, Brazil (LATAM);São Paulo (SP);17 hours ago;https://www.linkedin.com/jobs/view/4381072031/;https://media.licdn.com/dms/image/v2/D560BAQHilaKdJueUVg/company-logo_100_100/B56ZodIp56HUAU-/0/1761425400481?e=1778112000&v=beta&t=--PU30pBhLOCC861bxH69__WGM2_rtdmqMUa82J-yB8;Middle > Manager;https://www.linkedin.com/company/adobe/about/;IT;;adobe;5.0;https://www.linkedin.com/jobs/view/4381072031/;;On-site;Mid, Liderança/Gerência, Marketing/Mídia;18/04/2026
5;Adobe;Program Manager - License Advisory;São Paulo (SP);17 hours ago;https://www.linkedin.com/jobs/view/4381066119/;https://media.licdn.com/dms/image/v2/D560BAQHilaKdJueUVg/company-logo_100_100/B56ZodIp56HUAU-/0/1761425400481?e=1778112000&v=beta&t=--PU30pBhLOCC861bxH69__WGM2_rtdmqMUa82J-yB8;Portfolio > Programas > Program Manager;https://www.linkedin.com/company/adobe/about/;Marketing;;adobe;5.0;https://www.linkedin.com/jobs/view/4381066119/;;On-site;Liderança/Gerência;18/04/2026
6;Develcode;152 - Desenvolvedor(a) Adobe AEM - Pleno;Caxias do Sul (RS);1 day ago;https://www.linkedin.com/jobs/view/4403580179/;https://media.licdn.com/dms/image/v2/D4D0BAQG1R1LsaTjQOg/img-crop_100/img-crop_100/0/1715961761217?e=1778112000&v=beta&t=L5W7iXVQvLCOZ_W6JnNYlSXaBMF-mj--qhKdySnpJis;-;https://www.linkedin.com/company/develcode/about/;Other;Solidês;develcode;1.0;https://www.linkedin.com/jobs/view/4403580179/;;Remote;Mid;18/04/2026
7;Develcode;153 - Arquiteto Adobe - Pleno;Caxias do Sul (RS);1 day ago;https://www.linkedin.com/jobs/view/4403586042/;https://media.licdn.com/dms/image/v2/D4D0BAQG1R1LsaTjQOg/img-crop_100/img-crop_100/0/1715961761217?e=1778112000&v=beta&t=L5W7iXVQvLCOZ_W6JnNYlSXaBMF-mj--qhKdySnpJis;Architecture;https://www.linkedin.com/company/develcode/about/;IT;Solidês;develcode;1.0;https://www.linkedin.com/jobs/view/4403586042/;;Remote;Mid;18/04/2026
8;Valtech;Data Analyst - Adobe Analytics;Brasil;1 day ago;https://www.linkedin.com/jobs/view/4403573293/;https://media.licdn.com/dms/image/v2/D4E0BAQFSPsCKDQ-lvQ/company-logo_100_100/company-logo_100_100/0/1697789289882/valtech_logo?e=1778112000&v=beta&t=SjzDdCzLSUswS3VJem3QQLqACRvpe97rAxH82mDknP0;Data & Ai > Data Engineering;https://www.linkedin.com/company/valtech/about/;Data;;valtech;1;https://www.linkedin.com/jobs/view/4403573293/;;Remote;Dados/Analytics;18/04/2026
