Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date
567;Leve Saúde;DESENVOLVEDOR BACK-END (INCLUSIVA PARA PCD).;Brasil;25/04 08:00;https://www.linkedin.com/jobs/view/4404168498/;https://media.licdn.com/dms/image/v2/D4D0BAQFPyvh19dz-iQ/company-logo_100_100/B4DZwqOPTXJwAQ-/0/1770234902708/leve_saude_logo?e=1778716800&v=beta&t=2zcat9NNDs_BAoPD0usUGYZHxK9BZp5PEN8UE_XJOZY;-;https://www.linkedin.com/company/leve-sa-de/about/;Healthcare;;leve saúde;1;https://www.linkedin.com/jobs/view/4404168498/;;Remote;PCD / Afirmativa, Backend;25/04/2026
568;Leveros;Pessoa Supervisora de Infraestrutura de TI;Assis (SP);24/04 21:00;https://www.linkedin.com/jobs/view/4404115584/;https://media.licdn.com/dms/image/v2/D4D0BAQEtGIlDxpaUHQ/company-logo_100_100/B4DZ0CANhqGQAU-/0/1773855103931/grupoleveros_logo?e=1778716800&v=beta&t=rpFMzcqpTeWSQWrggoaynYkQyRvCdP9Ybwbpkq8_Bbc;Middle > Manager;https://www.linkedin.com/company/leveros/about/;Infrastructure;;leveros;1;https://www.linkedin.com/jobs/view/4404115584/;;On-site;PCD / Afirmativa, Mid, Liderança/Gerência, TI/Tech, Infraestrutura/Redes;25/04/2026
569;Life´n Tech;Supervisor Operacional Sênior;Curitiba (PR);25/04 10:00;https://www.linkedin.com/jobs/view/4405753726/;https://media.licdn.com/dms/image/v2/D4D0BAQEac8-YESqWlw/img-crop_100/img-crop_100/0/1721949236537?e=1778716800&v=beta&t=-nGEKpbKIK3tVY6_P-5Qh8672RBLS41XaC74--LHK5M;Middle > Manager;https://www.linkedin.com/company/life-n-tech/about/;IT;;life´n tech;2.0;https://www.linkedin.com/jobs/view/4405753726/;;On-site;Senior, Mid, Liderança/Gerência;25/04/2026
570;LinguaSenseAI;Prompt Engineer (Portuguese);Brasil;25/04 06:00;https://www.linkedin.com/jobs/view/4405756152/;https://media.licdn.com/dms/image/v2/D560BAQGZnymn7xPJ2Q/company-logo_100_100/B56Z2qzeYPHEAQ-/0/1776687114170/linguasenseai_logo?e=1778716800&v=beta&t=OGieScmwrs79a1YyIn9zMUnvfAOVdMalMZ20S3y52jU;Advanced > Information Technology;https://www.linkedin.com/company/linguasenseai/about/;Marketing;;linguasenseai;1;https://www.linkedin.com/jobs/view/4405756152/;;Remote;Engenharia Geral;25/04/2026
571;Localiza&Co;LIDER FROTA | CURITIBA/PR;São José dos Pinhais (PR);24/04 21:00;https://www.linkedin.com/jobs/view/4404120264/;https://media.licdn.com/dms/image/v2/D4D0BAQFsXG1Wtlpm7g/company-logo_100_100/company-logo_100_100/0/1715979136145/localizaco_logo?e=1778716800&v=beta&t=UmpZOBXXXUVrgHDyazNctnv6ldJU2Px5W-Jk5Eu6RdA;-;https://www.linkedin.com/company/localiza-co/about/;IT;Gupy;localiza&co;1.0;https://www.linkedin.com/jobs/view/4404120264/;;On-site;Liderança/Gerência;25/04/2026
572;Locatelli Group;Supervisor de auditoria;São Paulo (SP);25/04 01:00;https://www.linkedin.com/jobs/view/4406809652/;https://media.licdn.com/dms/image/v2/D560BAQHQ_U7lmdwvSQ/company-logo_100_100/B56ZzdTjbQH0AQ-/0/1773239418223/locatelli_group_logo?e=1778716800&v=beta&t=mdSAC1ju5wiUyNPvd57Cw5fhF_r7Fok9OvABtbTG_Gs;Middle > Manager;https://www.linkedin.com/company/locatelli-group/about/;IT;;locatelli group;1;https://www.linkedin.com/jobs/view/4406809652/;;Hybrid;Mid, Liderança/Gerência;25/04/2026
573;Lojas Renner S.A.;YOUCOM - Gerente de Loja - Rio de Janeiro/RJ;Rio de Janeiro (RJ);25/04 11:00;https://www.linkedin.com/jobs/view/4383163409/;https://media.licdn.com/dms/image/v2/D4D0BAQFD9bHi3LlGKA/company-logo_100_100/B4DZbJ.Cf6G0AQ-/0/1747145206237/lojas_renner_logo?e=1778716800&v=beta&t=zqQdQhRxMijgAKwchDd0iJdSHc7kq_YIsAy_pQpNBCs;Middle > Manager;https://www.linkedin.com/company/lojas-renner-s-a/about/;Retail;;lojas renner s.a.;1.0;https://www.linkedin.com/jobs/view/4383163409/;;On-site;Mid, Liderança/Gerência;25/04/2026
574;Lojas Renner S.A.;Pessoa Especialista de Marketing- Foco em Gestão de Projetos;São Paulo (SP);25/04 02:00;https://www.linkedin.com/jobs/view/4406818806/;https://media.licdn.com/dms/image/v2/D4D0BAQFD9bHi3LlGKA/company-logo_100_100/B4DZbJ.Cf6G0AQ-/0/1747145206237/lojas_renner_logo?e=1778716800&v=beta&t=zqQdQhRxMijgAKwchDd0iJdSHc7kq_YIsAy_pQpNBCs;Advanced > Specialist;https://www.linkedin.com/company/lojas-renner-s-a/about/;IT;;lojas renner s.a.;1.0;https://www.linkedin.com/jobs/view/4406818806/;;Hybrid;PCD / Afirmativa, Specialist, Marketing/Mídia;25/04/2026
575;Líder Distribuidora;Analista ADM Comercial JR;João Pessoa (PB);24/04 21:00;https://www.linkedin.com/jobs/view/4406672726/;https://media.licdn.com/dms/image/v2/D560BAQEUzqVBJzDTRQ/company-logo_100_100/company-logo_100_100/0/1719256460085?e=1778716800&v=beta&t=N5fEP94lkl9T-UxXhHRuae3LJyKtBTyqoL7Vbej-EuY;Advanced > Specialist;https://www.linkedin.com/company/l-der-distribuidora/about/;Sales;;líder distribuidora;1;https://www.linkedin.com/jobs/view/4406672726/;;On-site;Junior, Associate, Vendas / Comercial;25/04/2026
576;M. Dias Branco;Especialista de Logística - Inovação;Eusébio (CE);25/04 08:00;https://www.linkedin.com/jobs/view/4404170490/;https://media.licdn.com/dms/image/v2/C4D0BAQEL7MBtfaz_5A/company-logo_100_100/company-logo_100_100/0/1640351661598/mdiasbranco_logo?e=1778716800&v=beta&t=l_dBq-TADbtbSLgyry933xP0tOWMq-K56TjxDsL9hBI;Advanced > Specialist;https://www.linkedin.com/company/m-dias-branco/about/;IT;;m. dias branco;1;https://www.linkedin.com/jobs/view/4404170490/;;Hybrid;Specialist, Logística/Supply, Inovação/P&D;25/04/2026
577;M. Dias Branco;Especialista de Logística - Inovação Eusébio - CE and Hybrid Full-time employee;Eusébio (CE);24/04 22:00;https://www.linkedin.com/jobs/view/4405719252/;https://media.licdn.com/dms/image/v2/C4D0BAQEL7MBtfaz_5A/company-logo_100_100/company-logo_100_100/0/1640351661598/mdiasbranco_logo?e=1778716800&v=beta&t=l_dBq-TADbtbSLgyry933xP0tOWMq-K56TjxDsL9hBI;Advanced > Specialist;https://www.linkedin.com/company/m-dias-branco/about/;IT;;m. dias branco;1;https://www.linkedin.com/jobs/view/4405719252/;;Hybrid;CLT/Efetivo, Specialist, Logística/Supply, Inovação/P&D;25/04/2026
578;M3 USA;Senior Data Engineer (SQL DBA);Grande Rio de Janeiro (RJ);25/04 10:00;https://www.linkedin.com/jobs/view/4397315028/;https://media.licdn.com/dms/image/v2/D560BAQGHvVPa3-nQUg/company-logo_100_100/company-logo_100_100/0/1738874065999/so_net_m3_logo?e=1778716800&v=beta&t=9443USyzRqlnVe9u6CozHsTa8xnH5cYrLXYp48papM4;Data & Ai > Data Engineering;https://www.linkedin.com/company/m3-usa/about/;Data;LinkedIn (Easy Apply);m3 usa;1.0;https://www.linkedin.com/jobs/view/4397315028/;;Remote;Senior, Dados/Analytics, Engenharia Geral;25/04/2026
579;MAG Seguros;Gerente Comercial I | Jundiaí;Jundiaí (SP);24/04 23:00;https://www.linkedin.com/jobs/view/4406804992/;https://media.licdn.com/dms/image/v2/D4D0BAQEl_NbXLQiMGg/company-logo_100_100/B4DZu9CYlFKYAQ-/0/1768403078094/mag_seguros_logo?e=1778716800&v=beta&t=64pDiWnhGg9uRS-qFq0YW9m83YG5Lbl0hKRtemLp1zU;Middle > Manager;https://www.linkedin.com/company/mag-seguros/about/;Insurance;;mag seguros;4.0;https://www.linkedin.com/jobs/view/4406804992/;;On-site;Mid, Liderança/Gerência, Vendas / Comercial;25/04/2026
580;MBRF;Especialista Gestão e Performance Supply - Curitiba PR;Curitiba (PR);24/04 21:00;https://www.linkedin.com/jobs/view/4403793840/;https://media.licdn.com/dms/image/v2/D4D0BAQENuVebWdDuUA/company-logo_100_100/B4DZlzyuONJEAQ-/0/1758584301250/brf_logo?e=1778716800&v=beta&t=Jd0SEZm3aluYxNqxTGv1erKX7gTIBVDXuTdqqznuxSk;Advanced > Specialist;https://www.linkedin.com/company/mbrf/about/;IT;talents.brf.com;mbrf;1.0;https://www.linkedin.com/jobs/view/4403793840/;;On-site;Specialist;25/04/2026
581;MBRF;Analista de Investimentos Comerciais Sênior - Morumbi SP;São Paulo (SP);25/04 00:00;https://www.linkedin.com/jobs/view/4406832168/;https://media.licdn.com/dms/image/v2/D4D0BAQENuVebWdDuUA/company-logo_100_100/B4DZlzyuONJEAQ-/0/1758584301250/brf_logo?e=1778716800&v=beta&t=Jd0SEZm3aluYxNqxTGv1erKX7gTIBVDXuTdqqznuxSk;Advanced > Specialist;https://www.linkedin.com/company/mbrf/about/;Finance;talents.brf.com;mbrf;1.0;https://www.linkedin.com/jobs/view/4406832168/;;On-site;Senior, Associate;25/04/2026
582;MEGA LIGHT;Gerente de E-commerce;Grande São Paulo (SP) ;25/04 05:00;https://www.linkedin.com/jobs/view/4406855060/;Sem logo;Middle > Manager;https://www.linkedin.com/company/mega-light/about/;Other;;mega light;1;https://www.linkedin.com/jobs/view/4406855060/;;On-site;Mid, Liderança/Gerência;25/04/2026
583;MI Electric Brasil;Analista  de Planejamento ADM;Rio de Janeiro (RJ);25/04 01:00;https://www.linkedin.com/jobs/view/4406827423/;https://media.licdn.com/dms/image/v2/D4D0BAQECOJNDADpUfg/company-logo_100_100/company-logo_100_100/0/1685712793751/mi_electric_brazil_logo?e=1778716800&v=beta&t=ZP-x8zusnTs23lbxBsfTm0vI1tpAhNFe_n0txTdsE9g;Advanced > Specialist;https://www.linkedin.com/company/mi-electric-brasil/about/;Other;;mi electric brasil;1;https://www.linkedin.com/jobs/view/4406827423/;;On-site;Associate;25/04/2026
584;MI Electric Brasil;Auxiliar Administrativo;Rio de Janeiro (RJ);25/04 01:00;https://www.linkedin.com/jobs/view/4406820481/;https://media.licdn.com/dms/image/v2/D4D0BAQECOJNDADpUfg/company-logo_100_100/company-logo_100_100/0/1685712793751/mi_electric_brazil_logo?e=1778716800&v=beta&t=ZP-x8zusnTs23lbxBsfTm0vI1tpAhNFe_n0txTdsE9g;-;https://www.linkedin.com/company/mi-electric-brasil/about/;IT;;mi electric brasil;1;https://www.linkedin.com/jobs/view/4406820481/;;On-site;Associate;25/04/2026
585;MSA - The Safety Company;Especialista de Manutenção (Maintenance Specialist/Technician);Diadema (SP);24/04 23:00;https://www.linkedin.com/jobs/view/4404118855/;https://media.licdn.com/dms/image/v2/C4D0BAQH6bGJSAKKO6w/company-logo_100_100/company-logo_100_100/0/1631309659336?e=1778716800&v=beta&t=kbYXAtUS2PxEstyNxeZcIMG-CsN_MSPNYkXin9HsDhg;Advanced > Specialist;https://www.linkedin.com/company/msa-the-safety-company/about/;IT;;msa - the safety company;1;https://www.linkedin.com/jobs/view/4404118855/;;On-site;Specialist, TI/Tech, Sustentação/O&M;25/04/2026
586;MSD Brasil;LATAM Ruminant Business Director (Director Global Marketing);São Paulo (SP);24/04 21:00;https://www.linkedin.com/jobs/view/4406672304/;https://media.licdn.com/dms/image/v2/D4D0BAQELO-7py4QhJA/company-logo_100_100/B4DZf6jS48HMAQ-/0/1752255246312/msd_brasil_logo?e=1778716800&v=beta&t=hpAaaJIGZVvVtRaEX904faPFh8oR2pRdd_GQAmPcMfE;Leadership > C-Level > Director;https://www.linkedin.com/company/msd-brasil/about/;IT;;msd brasil;1.0;https://www.linkedin.com/jobs/view/4406672304/;;Hybrid;Liderança/Gerência, Marketing/Mídia;25/04/2026
587;MadeiraMadeira;Gerente de Desenvolvimento de Sistemas (Engineering Manager);Brasil;24/04 21:00;https://www.linkedin.com/jobs/view/4405709363/;https://media.licdn.com/dms/image/v2/D4D0BAQESxLXINUopOw/company-logo_100_100/B4DZr.NRV3JAAU-/0/1765201483737/madeiramadeira_logo?e=1778716800&v=beta&t=vQW1vVep9PISAUEW0gGXMpa6NRRVOWuZBO3L-cA_ezk;Middle > Manager;https://www.linkedin.com/company/madeiramadeira/about/;IT;;madeiramadeira;1.0;https://www.linkedin.com/jobs/view/4405709363/;;On-site;Mid, Liderança/Gerência, TI/Tech, Engenharia Geral;25/04/2026
588;Mars;Jr. Service Analyst;Guararema (SP);25/04 06:00;https://www.linkedin.com/jobs/view/4405749274/;https://media.licdn.com/dms/image/v2/C4D0BAQFxhsUQuX5Qyg/company-logo_100_100/company-logo_100_100/0/1630500222462/mars_logo?e=1778716800&v=beta&t=o6UXRYCmA-pLkuPn4gfyhHdOAUcsm3inNShYzFzMGSY;Advanced > Specialist;https://www.linkedin.com/company/mars/about/;Other;LinkedIn (Easy Apply);mars;1.0;https://www.linkedin.com/jobs/view/4405749274/;;Hybrid;Junior;25/04/2026
589;Mars;Gerente Técnico(a);São Paulo (SP);25/04 06:00;https://www.linkedin.com/jobs/view/4405746329/;https://media.licdn.com/dms/image/v2/C4D0BAQFxhsUQuX5Qyg/company-logo_100_100/company-logo_100_100/0/1630500222462/mars_logo?e=1778716800&v=beta&t=o6UXRYCmA-pLkuPn4gfyhHdOAUcsm3inNShYzFzMGSY;Middle > Manager;https://www.linkedin.com/company/mars/about/;Other;LinkedIn (Easy Apply);mars;1.0;https://www.linkedin.com/jobs/view/4405746329/;;On-site;Mid, Liderança/Gerência;25/04/2026
