Id;Company;Job Title;Location;Published Date;Job Link;Logo;Category;Company Life URL;Industry;Platform;Company_Match;Score;Job Link_Match;Destination URL;Work Mode;Tags;Capture Date;City;State;UF;Region;Country;Continent
1;Amazon;Sr. Product Manager, Amazon;Grande São Paulo (SP) ;30/04 11:00;https://www.linkedin.com/jobs/view/4387824571/;https://media.licdn.com/dms/image/v2/D560BAQGDLy4STCnHbg/company-logo_100_100/B56ZnZxDipI0AQ-/0/1760295142304/amazon_logo?e=1779321600&v=beta&t=7jukWAflI_mcl3yXRyOpXm42YboI6iAOGCpZ9aAh4wU;Produtos > Product Manager;https://www.linkedin.com/company/amazon/about/;Marketing;Amazon;amazon;5.0;https://www.linkedin.com/jobs/view/4387824571/;https://www.amazon.jobs/en/jobs/3208368/sr-product-manager-amazon?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid;On-site;Senior, Liderança/Gerência, Product Owner/Product Manager;01/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
2;Amazon Web Services (AWS);Customer Solutions Manager;Grande São Paulo (SP) ;01/05 10:00;https://www.linkedin.com/jobs/view/4409191176/;https://media.licdn.com/dms/image/v2/D4E0BAQFqdm1TZ-RZKQ/company-logo_100_100/B4EZgOay6gHEAY-/0/1752588562343/amazon_web_services_logo?e=1779321600&v=beta&t=TC1AZkpDFhkrRLjhC41m8oFkESfbM_PBDY41_OshXb4;Middle > Manager;https://www.linkedin.com/company/amazon-web-services-aws/about/;IT;Amazon;amazon web services (aws);5.0;https://www.linkedin.com/jobs/view/4409191176/;https://www.amazon.jobs/en/jobs/10408390/customer-solutions-manager?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid;On-site;Liderança/Gerência;01/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
3;Amazon Web Services (AWS);Customer Solutions Manager, AGS Brazil;Grande São Paulo (SP) ;30/04 11:00;https://www.linkedin.com/jobs/view/4409169995/;https://media.licdn.com/dms/image/v2/D4E0BAQFqdm1TZ-RZKQ/company-logo_100_100/B4EZgOay6gHEAY-/0/1752588562343/amazon_web_services_logo?e=1779321600&v=beta&t=TC1AZkpDFhkrRLjhC41m8oFkESfbM_PBDY41_OshXb4;Middle > Manager;https://www.linkedin.com/company/amazon-web-services-aws/about/;IT;Amazon;amazon web services (aws);5.0;https://www.linkedin.com/jobs/view/4409169995/;https://www.amazon.jobs/en/jobs/10408362/customer-solutions-manager-ags-brazil?cmpid=SPLICX0248M&utm_source=linkedin.com&utm_campaign=cxro&utm_medium=social_media&utm_content=job_posting&ss=paid;On-site;Liderança/Gerência;01/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
4;Chainlink Labs;HR Tech Product Manager;Grande São Paulo (SP) ;01/05 10:00;https://www.linkedin.com/jobs/view/4387632848/;https://media.licdn.com/dms/image/v2/D560BAQEYHgoKT4l1jQ/company-logo_100_100/company-logo_100_100/0/1729725476545/chainlink_labs_logo?e=1779321600&v=beta&t=r4XUL2ua2dMeq_pVJrepLpv160jOFG_fDdQtR6zxuDI;Produtos > Product Manager;https://www.linkedin.com/company/chainlink-labs/about/;HR;jobs.ashbyhq.com;chainlink labs;1.0;https://www.linkedin.com/jobs/view/4387632848/;https://jobs.ashbyhq.com/chainlink-labs/681eb174-6926-4b8d-a7ed-f706d52ac596?src=LinkedIn;Remote;Liderança/Gerência, TI/Tech, Product Owner/Product Manager;01/05/2026;;São Paulo;SP;Região Sudeste;Brasil;América do Sul
5;Ebury;Product Manager- Financial Crime Prevention;São Paulo (SP);30/04 11:00;https://www.linkedin.com/jobs/view/4387697929/;https://media.licdn.com/dms/image/v2/D4D0BAQE5Q1wVXb_ebw/company-logo_100_100/B4DZxbuXAUG0AQ-/0/1771065405812/eburyfintech_logo?e=1779321600&v=beta&t=sB11Red3adQXBF3Yhc58NUepManK3ahMqJJjoMRlXRc;Produtos > Product Manager;https://www.linkedin.com/company/ebury/about/;IT;ebury.com;ebury;2.0;https://www.linkedin.com/jobs/view/4387697929/;;Hybrid;Liderança/Gerência, Product Owner/Product Manager, Eventos;01/05/2026;São Paulo;São Paulo;SP;Região Sudeste;Brasil;América do Sul
6;Revolut;Credit Product Manager;Brasil;30/04 11:00;https://www.linkedin.com/jobs/view/4397266422/;https://media.licdn.com/dms/image/v2/D4E0BAQFBudSGoYdD9g/company-logo_100_100/company-logo_100_100/0/1736441557682/revolut_logo?e=1779321600&v=beta&t=pVfkEaEdS7oKULDEdhdxDXP0HrFqUXdoxmatDSe8Ifw;Produtos > Product Manager;https://www.linkedin.com/company/revolut/about/;IT;www.revolut.com;revolut;2.0;https://www.linkedin.com/jobs/view/4397266422/;https://www.revolut.com/careers/position/fa3b69d4-a9e8-42f2-aa13-e689b236743b/;Remote;Liderança/Gerência, Product Owner/Product Manager;01/05/2026;;;;;Brasil;América do Sul
7;TELUS Digital;AI Senior Product Lead;Brasil;30/04 11:00;https://www.linkedin.com/jobs/view/4387369949/;https://media.licdn.com/dms/image/v2/D560BAQG9RsfYMPHl6Q/company-logo_100_100/B56Zlcq4hqJ0AQ-/0/1758196369808/telus_digital_logo?e=1779321600&v=beta&t=px9QsbOUj22_FcVSHRSXBV9ZrmJyxBXWwamX2yJBLYY;Middle > Manager;https://www.linkedin.com/company/telus-digital/about/;IT;jobs.ashbyhq.com;telus digital;4.0;https://www.linkedin.com/jobs/view/4387369949/;https://jobs.ashbyhq.com/telus-digital/5fff057c-1f09-4bbf-9054-afb4181f977d/application?utm_source=LinkedInJobWrapping;Remote;Inteligência Artificial, Senior, Mid, Liderança/Gerência;01/05/2026;;;;;Brasil;América do Sul
